site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq
ABONG MBANG,2343396,3.96666666666666,13.2,,24000.0,3.595
ABONG MBANG,2343546,3.96666666666666,13.2,,24800.0,5.128
ABONG MBANG,2343689,3.96666666666666,13.25,,20000.0,7.412
BAFANG,2343492,5.16666666666666,10.0833333333333,,13000.0,4.49
BAFANG,2343507,5.16666666666666,10.0833333333333,,13000.0,4.623
BAFIA,2343489,4.75,11.2,,13000.0,4.47
BAFIA,2343582,4.75,11.2,,13000.0,5.475
BAFIA,2343688,4.75,11.2,,20000.0,7.412
BAFOUSSAM,2343709,5.83333333333333,10.25,,17000.0,7.603
BAFOUSSAM,2343491,5.51666666666666,10.4166666666666,,13000.0,4.485
BAFOUSSAM,2343565,5.51666666666666,10.4166666666666,,13000.0,5.272
BALI,2343053,5.9,10.0,,17000.0,0.343
BALI QQ,2343068,5.9,10.0,,20000.0,10.074
BALI QQ,2343070,5.9,10.0,,20000.0,10.074
BALI QQ,2343097,5.9,10.0,,20000.0,11.396
BALI QQ,2343099,5.9,10.0,,20000.0,11.396
BALI QQ,2343476,5.9,10.0,,20000.0,4.338
BALI QQ,2343478,5.9,10.0,,20000.0,4.338
BAMENDA,2343504,5.91666666666666,10.15,,13000.0,4.595
BAMENDA,2343581,5.91666666666666,10.15,,13000.0,5.445
BAMENDA,2343252,5.95,10.15,,13000.0,183.5
BAMENDA,2343253,5.95,10.15,,13000.0,186.5
BAMENDA,2343775,5.95,10.15,,13000.0,75.3
BANKIM,2343652,6.08333333333333,11.4166666666666,,13000.0,6.753
BANYO,2343405,6.78333333333333,11.8166666666666,,20000.0,3.609
BANYO,2343693,6.78333333333333,11.8333333333333,,17000.0,7.5
BATIBO,2343203,5.83333333333333,9.85,,13000.0,156.5
BATIBO,2343205,5.83333333333333,9.85,,13000.0,158.5
BATIBO,2343215,5.83333333333333,9.85,,13000.0,160.5
BATIBO,2343217,5.83333333333333,9.85,,13000.0,162.5
BATIBO,2343220,5.83333333333333,9.85,,13000.0,164.5
BATIBO,2343221,5.83333333333333,9.85,,13000.0,166.5
BATIBO,2343818,5.83333333333333,9.85,,13000.0,85.75
BATIBO,2343819,5.83333333333333,9.85,,13000.0,85.8
BATIBO,2343820,5.83333333333333,9.85,,13000.0,85.9
BATOURI,2343130,4.46666666666666,14.3666666666666,,17000.0,118.3
BATOURI,2343039,4.41666666666666,14.4,,14800.0,0.276
BATOURI,2343389,4.41666666666666,14.4,,30000.0,3.581
BATOURI,2343391,4.41666666666666,14.4,,30000.0,3.581
BATOURI,2343399,4.41666666666666,14.4,,20000.0,3.602
BATOURI,2343451,4.41666666666666,14.4,,24000.0,3.806
BATOURI,2343596,4.41666666666666,14.4,,20000.0,5.766
BATOURI,2343700,4.41666666666666,14.4,,24000.0,7.505
BATOURI,2343704,4.41666666666666,14.4,,20000.0,7.57
BATOURI,2343739,4.41666666666666,14.4,,23000.0,7.81
BATOURI,2343832,4.41666666666666,14.4,,23000.0,9.124
BATOURI,2343500,4.43333333333333,14.4,,30000.0,4.548
BATOURI,2343501,4.43333333333333,14.4,,30000.0,4.548
BATOURI QQ,2343269,4.41666666666666,12.4,,30000.0,2.482
BATOURI QQ,2343625,4.41666666666666,14.4,,23000.0,5.93
BATOURI QQ,2343659,4.41666666666666,14.4,,23000.0,6.774
BATOURI QQ,2343788,4.41666666666666,14.4,,23000.0,8.012
BATOURI QQ,2343800,4.41666666666666,14.4,,24800.0,8.123
BERTOUA,2343696,4.56666666666666,13.7166666666666,,17000.0,7.5
BERTOUA,2343397,4.6,13.7333333333333,,20000.0,3.602
BETARE OYA,2343398,5.6,14.0666666666666,,20000.0,3.602
BETARE OYA,2343697,5.53333333333333,14.1333333333333,,17000.0,7.5
BITAM,2343036,2.08333333333333,11.4833333333333,,23000.0,0.264
BUEA,2343249,4.15,9.23333333333333,,13000.0,181.5
BUEA,2343250,4.15,9.23333333333333,,13000.0,182.5
BUEA,2343251,4.15,9.23333333333333,,13000.0,183.0
BUEA,2343544,4.15,9.23333333333333,,13000.0,5.105
BUEA,2343770,4.15,9.23333333333333,,13000.0,70.15
BUEA,2343815,4.15,9.23333333333333,,13000.0,85.65
BUEA,2343817,4.15,9.23333333333333,,13000.0,85.75
BUEA MOUNTAIN,2343238,4.26666666666666,9.21666666666666,,13000.0,173.5
BUEA MOUNTAIN,2343240,4.26666666666666,9.21666666666666,,13000.0,175.5
