terrakey,intent,mod_type,fragment,assgn_id,adm_ref_id,plan_adm_ref_id,notice_typ,adm,ctry,network,stn_id,addr_code,op_agcy,d_adm_ntc,d_inuse,d_rcv,d_expiry,prov,region,transmitter.frq,freq_vcarr,freq_scarr,tv_chan,freq_stabl,oset_v_12,oset_v_khz,oset_s_12,oset_s_khz,offset_khz,stn_cls,tran_sys,color,emi_cls,bdwdth,transmitter.alt,eff_hgtmax,erp_dbw,transmitter.txw,erp_h_dbw,erp_h_kw,erp_v_dbw,erp_v_kw,erp_beam_tilt_dbw,beam_tilt_angle,antenna.pol,ant_dir,antenna.azi,pwr_ratio,site,long_deg,long_ew,long_min,long_sec,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lon,transmitter.lat,long_rdn,lat_rdn,site_alt,eu_ref,eu,fdg_observ,d_recog,src_notice,d_updated,src_update,stage,amend_type,is_notice,is_public,is_resub,is_digital,is_pub_req,d_pub_req,target,plan_entry,assgn_code,are_rmk_conds_met,has_signed_commitment,sfn_id,assoc_allot_id,assoc_allot_sfn_id,spect_mask,rx_mode,ref_plan_cfg,freq_block,pwr_dens,pwr_dens_reference,freq_min,freq_max,antenna.ant
92534411,RECORDED,MINOR,GE84,84108101,BEN01_ABOMEY_90.9,,T01,BEN,BEN,92534411,,,,,,1984-12-07 00:00:00,,,1,90.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,60.0,178,30.0,1000.0,30.0,1.0,,,,,h,ND,0.0,,ABOMEY,1,E,59,0.0,7,N,11,0.0,1.9833333333333332,7.183333333333334,0.0346156968312202,0.1253728179349238,233.0,70.462,73.24869537353516,,1984-12-07 00:00:00,NOTIFIER,2022-09-03 02:11:37,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,90.75,91.05,1
5130344,RECORDED,NOT MODIFY,NTFD_RR,110044327,,,TB2,BEN,BEN,5130344,,B,,,2010-05-01 00:00:00,2010-05-09 00:00:00,,RR11.2,1,90.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,0.0,300,50.0,100000.0,50.0,100.0,,,,,h,D,260.0,,ABOMEY,1,E,59,0.0,7,N,11,0.0,1.9833333333333332,7.183333333333334,0.0346156968312202,0.1253728179349238,215.0,,,,2010-05-09 00:00:00,NOTIFIER,2013-05-29 11:18:56,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,90.75,91.05,0
92534415,RECORDED,MINOR,GE84,84108086,BEN05_ABOMEY_94,,T01,BEN,BEN,92534415,,,,,,2010-05-10 00:00:00,,,1,94.0,,,,NORMAL,,,,,,BC,4,,F8EHF,300,60.0,181,30.0,1000.0,,,30.0,1.0,,,v,ND,0.0,,ABOMEY,1,E,58,0.0,7,N,10,0.0,1.9666666666666668,7.166666666666667,0.0343248086225545,0.1250819297262581,223.0,81.66323852539062,81.66323852539062,,2011-03-08 00:00:00,NOTIFIER,2023-02-05 03:07:41,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,93.85,94.15,1
5687506,RECORDED,NOT MODIFY,NTFD_RR,113115567,,,TB2,BEN,BEN,5687506,,A,16.0,,2012-09-10 00:00:00,2013-07-26 00:00:00,,RR11.2,1,94.0,,,,NORMAL,,,,,,BC,4,,F8EHF,300,85.0,279,38.0,6309.573444801933,,,38.0,6.309573444801933,,,v,D,0.0,,ABOMEY,1,E,58,0.0,7,N,10,0.0,1.9666666666666668,7.166666666666667,0.0343248086225545,0.1250819297262581,194.0,,,,2013-07-26 00:00:00,NOTIFIER,2013-09-25 11:17:14,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,93.85,94.15,0
92534413,RECORDED,MINOR,GE84,110044270,BEN03_ABOMEY_95.7,,T01,BEN,BEN,92534413,,,,,,2010-05-09 00:00:00,,,1,95.7,,,,NORMAL,,,,,,BC,4,,F8EHF,300,60.0,181,30.0,1000.0,,,30.0,1.0,,,v,ND,0.0,,ABOMEY,1,E,58,0.0,7,N,10,0.0,1.9666666666666668,7.166666666666667,0.0343248086225545,0.1250819297262581,223.0,81.467,83.30845642089844,,2011-03-08 00:00:00,NOTIFIER,2022-10-29 05:23:53,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,95.55,95.85,1
5687505,RECORDED,NOT MODIFY,NTFD_RR,113115566,,,TB2,BEN,BEN,5687505,,A,16.0,,2012-09-10 00:00:00,2013-07-26 00:00:00,,RR11.2,1,95.7,,,,NORMAL,,,,,,BC,4,,F8EHF,300,85.0,279,38.0,6309.573444801933,,,38.0,6.309573444801933,,,v,D,0.0,,ABOMEY,1,E,58,0.0,7,N,10,0.0,1.9666666666666668,7.166666666666667,0.0343248086225545,0.1250819297262581,194.0,,,,2013-07-26 00:00:00,NOTIFIER,2013-09-25 11:17:14,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,95.55,95.85,0
92534414,RECORDED,MINOR,GE84,110044273,BEN04_ABOMEY_96.1,,T01,BEN,BEN,92534414,,,,,,2010-05-09 00:00:00,,,1,96.1,,,,NORMAL,,,,,,BC,4,,F8EHF,300,60.0,178,30.0,1000.0,,,30.0,1.0,,,v,ND,0.0,,ABOMEY,1,E,59,0.0,7,N,11,0.0,1.9833333333333332,7.183333333333334,0.0346156968312202,0.1253728179349238,233.0,87.14202880859375,87.15038299560547,,2011-04-05 00:00:00,NOTIFIER,2023-02-05 04:13:52,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,95.95,96.25,1
92534416,RECORDED,MINOR,GE84,84108102,BEN06_ABOMEY_100.9,,T01,BEN,BEN,92534416,,,,,,2010-05-10 00:00:00,,,1,100.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,153,25.0,316.2277660168379,,,25.0,0.3162277660168379,,,v,ND,0.0,,ABOMEY,1,E,59,0.0,7,N,11,0.0,1.9833333333333332,7.183333333333334,0.0346156968312202,0.1253728179349238,233.0,71.1466293334961,71.74056243896484,,2011-03-08 00:00:00,NOTIFIER,2022-10-29 08:20:31,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,100.75,101.05,1
5687574,RECORDED,NOT MODIFY,NTFD_RR,113115635,,,TB2,BEN,BEN,5687574,,A,8.0,,2012-09-10 00:00:00,2013-07-26 00:00:00,,RR11.2,1,100.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,250,28.0,630.9573444801932,,,28.0,0.6309573444801932,,,v,D,0.0,,ABOMEY,1,E,59,0.0,7,N,11,0.0,1.9833333333333332,7.183333333333334,0.0346156968312202,0.1253728179349238,215.0,,,,2013-07-26 00:00:00,NOTIFIER,2013-09-25 11:17:14,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,100.75,101.05,0
92534412,RECORDED,MINOR,GE84,110043404,BEN02_ABOMEY_102.9,,T01,BEN,BEN,92534412,,,,,,2010-04-30 00:00:00,,,1,102.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,60.0,181,35.0,3162.2776601683795,,,35.0,3.1622776601683795,,,v,ND,0.0,,ABOMEY,1,E,58,0.0,7,N,10,0.0,1.9666666666666668,7.166666666666667,0.0343248086225545,0.1250819297262581,223.0,81.629,81.64826965332031,,2010-10-19 00:00:00,NOTIFIER,2022-10-29 09:40:06,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,102.75,103.05,1
