terrakey,intent,mod_type,fragment,assgn_id,adm_ref_id,plan_adm_ref_id,notice_typ,adm,ctry,network,stn_id,addr_code,op_agcy,d_adm_ntc,d_inuse,d_rcv,d_expiry,prov,region,transmitter.frq,freq_vcarr,freq_scarr,tv_chan,freq_stabl,oset_v_12,oset_v_khz,oset_s_12,oset_s_khz,offset_khz,stn_cls,tran_sys,color,emi_cls,bdwdth,transmitter.alt,eff_hgtmax,erp_dbw,transmitter.txw,erp_h_dbw,erp_h_kw,erp_v_dbw,erp_v_kw,erp_beam_tilt_dbw,beam_tilt_angle,antenna.pol,ant_dir,antenna.azi,pwr_ratio,site,long_deg,long_ew,long_min,long_sec,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lon,transmitter.lat,long_rdn,lat_rdn,site_alt,eu_ref,eu,fdg_observ,d_recog,src_notice,d_updated,src_update,stage,amend_type,is_notice,is_public,is_resub,is_digital,is_pub_req,d_pub_req,target,plan_entry,assgn_code,are_rmk_conds_met,has_signed_commitment,sfn_id,assoc_allot_id,assoc_allot_sfn_id,spect_mask,rx_mode,ref_plan_cfg,freq_block,pwr_dens,pwr_dens_reference,freq_min,freq_max,antenna.ant
81000167,RECORDED,,GE06D,106500250,BDI206,,DS1,BDI,BDI,81000167,,,,,,2006-06-01 00:00:00,,,1,176.64,,,,,,,,,,BC,,,X7EXF,1536,40.0,376,30.0,1000.0,30.0,1.0,,,,,h,ND,0.0,,BANGA,29,E,38,0.0,3,S,7,0.0,29.633333333333333,-3.1166666666666667,0.5171992350076442,-0.054396095020489,2021.0,,,,2006-06-08 00:00:00,ITU,2019-03-03 02:46:55,,RECORDED,RECORDED,False,True,False,True,False,,,1.0,S,False,False,,,,1,,RPC4,5B,,,175.872,177.408,1
92534363,RECORDED,MAJOR,GE84,120238545,BIHUNGE94.7-2020,,T01,BDI,BDI,92534363,,,,,,2022-01-28 00:00:00,,,1,94.7,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,445,28.0,630.9573444801932,,,28.0,0.6309573444801932,,,v,ND,0.0,,BIHUNGE,29,E,35,50.0,3,S,6,29.0,29.59722222222222,-3.108055555555556,0.5165689772222019,-0.054245802779345,2151.0,79.5016098022461,79.5016098022461,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 07:01:03,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,94.55,94.85,1
92360853,RECORDED,NOT MODIFY,GE84,120238534,BIR88.2-2020,,T01,BDI,BDI,92360853,,,,,,2022-01-28 00:00:00,,,1,88.2,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,619,24.0,251.188643150958,,,24.0,0.251188643150958,,,v,ND,0.0,,BIRIME,30,E,24,9.0,3,S,18,27.0,30.4025,-3.3075,0.5306237258375671,-0.0577267650097114,2052.0,100.31385803222656,100.31385803222656,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 00:36:56,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,88.05,88.35000000000001,1
92534354,RECORDED,MAJOR,GE84,120238535,BIR89.0-2020,,T01,BDI,BDI,92534354,,,,,,2022-01-28 00:00:00,,,1,89.0,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,619,28.0,630.9573444801932,,,28.0,0.6309573444801932,,,v,ND,0.0,,BIRIME,30,E,24,9.0,3,S,18,27.0,30.4025,-3.3075,0.5306237258375671,-0.0577267650097114,2052.0,100.37937927246094,100.37937927246094,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 01:31:59,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,88.85,89.15,1
81000164,RECORDED,,GE06D,106501810,BDI203,,DS1,BDI,BDI,81000164,,,,,,2006-06-01 00:00:00,,,1,190.64,,,,,,,,,,BC,,,X7EXF,1536,60.0,398,30.0,1000.0,30.0,1.0,,,,,h,ND,0.0,,BIRIME,30,E,24,0.0,3,S,23,0.0,30.4,-3.3833333333333333,0.5305800926062672,-0.0590503063591404,1586.0,,,,2006-06-08 00:00:00,ITU,2019-03-03 02:46:55,,RECORDED,RECORDED,False,True,False,True,False,,,1.0,S,False,False,,,,1,,RPC4,7B,,,189.872,191.408,1
92534246,RECORDED,NOT MODIFY,GE84,122002423,BUBANZA,,T01,BDI,BDI,92534246,,,,,,2022-01-28 00:00:00,,,1,98.2,,,,NORMAL,,,,,,BC,4,,F8EHF,300,30.0,277,25.0,316.2277660168379,,,25.0,0.3162277660168379,,,v,ND,0.0,,BUBANZA,29,E,24,8.0,3,S,5,4.0,29.40222222222222,-3.0844444444444448,0.513165585180813,-0.0538337111504019,1104.0,84.18587493896484,84.18587493896484,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 10:25:48,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,98.05,98.35,1
92534297,RECORDED,MAJOR,GE84,115030658,2015-08,,T01,BDI,BDI,92534297,,,,,,2022-01-28 00:00:00,,,1,87.6,,,,NORMAL,,,,,,BC,4,,F8EHF,200,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,91.68223571777344,91.68223571777344,,2024-05-28 00:00:00,NOTIFIER,2024-08-24 23:58:09,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,87.5,87.69999999999999,1
92169830,RECORDED,NOT MODIFY,NTFD_RR,120046994,2015-08,2015-08,TB2,BDI,BDI,92169830,,A,6.0,,2014-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,87.6,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.0,100.0,20.0,0.1,,,,,h,D,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,87.50999999999999,87.69,0
92534291,RECORDED,MAJOR,GE84,115030651,2015-01,,T01,BDI,BDI,92534291,,,,,,2022-01-28 00:00:00,,,1,87.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,100.35363006591795,100.35363006591795,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 00:16:27,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,87.75,88.05000000000001,1
92169831,RECORDED,NOT MODIFY,NTFD_RR,120046995,2015-01,2015-01,TB2,BDI,BDI,92169831,,A,6.0,,1999-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,87.9,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.9,123.02687708123811,20.9,0.1230268770812381,,,,,h,D,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,87.81,87.99000000000001,0
