terrakey,intent,mod_type,fragment,assgn_id,adm_ref_id,plan_adm_ref_id,notice_typ,adm,ctry,network,stn_id,addr_code,op_agcy,d_adm_ntc,d_inuse,d_rcv,d_expiry,prov,region,transmitter.frq,freq_vcarr,freq_scarr,tv_chan,freq_stabl,oset_v_12,oset_v_khz,oset_s_12,oset_s_khz,offset_khz,stn_cls,tran_sys,color,emi_cls,bdwdth,transmitter.alt,eff_hgtmax,erp_dbw,transmitter.txw,erp_h_dbw,erp_h_kw,erp_v_dbw,erp_v_kw,erp_beam_tilt_dbw,beam_tilt_angle,antenna.pol,ant_dir,antenna.azi,pwr_ratio,site,long_deg,long_ew,long_min,long_sec,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lon,transmitter.lat,long_rdn,lat_rdn,site_alt,eu_ref,eu,fdg_observ,d_recog,src_notice,d_updated,src_update,stage,amend_type,is_notice,is_public,is_resub,is_digital,is_pub_req,d_pub_req,target,plan_entry,assgn_code,are_rmk_conds_met,has_signed_commitment,sfn_id,assoc_allot_id,assoc_allot_sfn_id,spect_mask,rx_mode,ref_plan_cfg,freq_block,pwr_dens,pwr_dens_reference,freq_min,freq_max,antenna.ant
92409835,RECORDED,NOT MODIFY,GE84,121010338,AFAGNAN,,T01,TGO,TGO,RADIO MOKPOKPO,RADIO MOKPOKPO,,,,,2021-02-15 00:00:00,,,1,102.7,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,95,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,AFAGNAN,1,E,36,55.0,6,N,29,39.0,1.6152777777777778,6.494166666666667,0.028191915556519,0.1133445905065965,82.0,78.092529296875,78.10260009765625,,2022-11-01 00:00:00,NOTIFIER,2023-02-05 07:52:54,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,102.6,102.8,1
92540797,RECORDED,NOT MODIFY,GE84,122010284,AGOU 3,,T01,TGO,TGO,RADIO LOME,RADIO LOME,,,,,2022-01-31 00:00:00,,,1,88.3,,,,NORMAL,,,,,,BC,4,,F8EHF,200,15.0,855,20.0,100.0,20.0,0.1,,,,,h,ND,0.0,,AGOU,0,E,44,59.0,6,N,52,21.0,0.7497222222222222,6.8725000000000005,0.0130851212531461,0.1199477528433082,978.0,78.90458679199219,78.90458679199219,,2022-09-06 00:00:00,NOTIFIER,2022-10-29 01:21:24,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,88.2,88.39999999999999,1
92409905,RECORDED,NOT MODIFY,GE84,121010408,AGOU2,,T01,TGO,TGO,RADIO KARA,RADIO KARA,,,,,2022-01-31 00:00:00,,,1,94.7,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,864,20.0,100.0,20.0,0.1,,,,,h,ND,0.0,,AGOU,0,E,44,54.0,6,N,52,20.0,0.7483333333333333,6.872222222222223,0.0130608805690906,0.1199429047064971,982.0,83.94063568115234,83.94142150878906,,2022-09-06 00:00:00,NOTIFIER,2022-10-29 04:49:13,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,94.6,94.8,1
92409906,RECORDED,NOT MODIFY,GE84,121010409,AGOU1,,T01,TGO,TGO,RFI,RFI,,,,,2021-02-15 00:00:00,,,1,98.3,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,864,30.0,1000.0,,,30.0,1.0,,,v,ND,0.0,,AGOU,0,E,44,54.0,6,N,52,20.0,0.7483333333333333,6.872222222222223,0.0130608805690906,0.1199429047064971,982.0,136.9525909423828,136.9525909423828,,2022-11-01 00:00:00,NOTIFIER,2022-10-29 06:48:45,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,98.2,98.4,1
92540798,RECORDED,NOT MODIFY,GE84,122010285,AGOU 4,,T01,TGO,TGO,RADIO RFI AGOU,RADIO RFI AGOU,,,,,2022-01-31 00:00:00,,,1,98.3,,,,NORMAL,,,,,,BC,4,,F8EHF,200,15.0,855,15.0,31.6227766016837,15.0,0.0316227766016837,,,,,h,ND,0.0,,AGOU,0,E,44,59.0,6,N,52,21.0,0.7497222222222222,6.8725000000000005,0.0130851212531461,0.1199477528433082,978.0,69.55077362060547,151.9525909423828,,2022-09-06 00:00:00,NOTIFIER,2022-10-29 06:48:45,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,98.2,98.4,1
92409904,RECORDED,NOT MODIFY,GE84,121010407,AGOU3,,T01,TGO,TGO,LA VOIX D'AGOU,LA VOIX D'AGOU,,,,,2022-01-31 00:00:00,,,1,102.1,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,87,20.0,100.0,20.0,0.1,,,,,h,ND,0.0,,AGOU,0,E,42,26.0,6,N,49,15.0,0.7072222222222222,6.820833333333333,0.0123433563210485,0.1190459993964445,196.0,73.03215026855469,73.0394287109375,,2022-09-06 00:00:00,NOTIFIER,2023-02-05 07:30:31,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,102.0,102.2,1
92409907,RECORDED,NOT MODIFY,GE84,121010410,AGOU,,T01,TGO,TGO,RADIO EPHATHA,RADIO EPHATHA,,,,,2022-01-31 00:00:00,,,1,103.3,,,,NORMAL,,,,,,BC,4,,F8EHF,200,15.0,855,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,AGOU,0,E,44,59.0,6,N,52,21.0,0.7497222222222222,6.8725000000000005,0.0130851212531461,0.1199477528433082,978.0,58.78803253173828,58.7946662902832,,2022-09-06 00:00:00,NOTIFIER,2022-10-29 09:55:42,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,103.2,103.4,1
92692604,RECORDED,NOT MODIFY,GE84,123025949,TGO-AGOU-JVA,,T01,TGO,TGO,RADIO JVA,RADIO JVA,,,,,2023-03-02 00:00:00,,,1,104.1,,,,NORMAL,,,,,,BC,4,,F8EHF,200,15.0,855,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,AGOU,0,E,44,59.0,6,N,52,21.0,0.7497222222222222,6.8725000000000005,0.0130851212531461,0.1199477528433082,978.0,62.06427383422852,62.06427383422852,,2024-02-06 00:00:00,NOTIFIER,2024-02-03 12:56:34,,RECORDED,RECORDED,False,True,False,False,True,2023-11-30 00:00:00,,,,False,False,,,,,,,,,,104.0,104.2,1
92409903,RECORDED,NOT MODIFY,GE84,121010406,AGOU GADDZEPE,,T01,TGO,TGO,FIRMAMENT,FIRMAMENT,,,,,2022-01-31 00:00:00,,,1,96.1,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,127,20.0,100.0,20.0,0.1,,,,,h,ND,0.0,,AGOU GADZEPE,0,E,43,1.0,6,N,50,53.0,0.7169444444444445,6.848055555555555,0.0125130411094369,0.1195211168039318,250.0,76.51483917236328,76.51483917236328,,2022-09-06 00:00:00,NOTIFIER,2023-02-05 04:13:52,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,96.0,96.2,1
92409901,RECORDED,NOT MODIFY,GE84,121010404,AHEPE,,T01,TGO,TGO,DUNEYO,DUNEYO,,,,,2021-02-15 00:00:00,,,1,105.3,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,102,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,AHEPE,1,E,23,26.0,6,N,35,46.0,1.3905555555555555,6.596111111111111,0.0242697728763429,0.1151238567162684,129.0,70.27003479003906,70.27003479003906,,2022-11-01 00:00:00,NOTIFIER,2022-10-29 11:20:41,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,105.2,105.4,1
