site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq,antenna.azi,antenna.hbw
AGUI,2772998,21.1666666666666,-13.1166666666666,,10000.0,5.07,,
AIN BEN TILI,2773165,25.9833333333333,-9.55,,14800.0,5.886,,
AIN BEN TILI,2773224,25.9833333333333,-9.55,,14800.0,6.9825,,
AIN BEN TILI,2773233,25.9833333333333,-9.55,,14800.0,7.3065,,
AIN BEN TILI,2773333,25.9833333333333,-9.55,,14800.0,7.94,,
AIN BEN TILI,2773468,25.9833333333333,-9.55,,14800.0,9.347,,
AIN BEN TILI,2773495,25.9833333333333,-9.55,,14800.0,9.895,,
AIOUN ATROUSS,2773195,16.8,-9.58333333333333,,14800.0,6.79,,
AIOUN ATROUSS,2773197,16.8,-9.58333333333333,,14800.0,6.79,,
AIOUN ATROUSS,2772613,16.65,-9.61666666666666,,33000.0,10.626,285.0,
AIOUN ATROUSS,2772641,16.65,-9.61666666666666,,3000.0,118.9,,
AIOUN ATROUSS,2772794,16.65,-9.61666666666666,,20000.0,3.225,,
AIOUN ATROUSS,2772797,16.65,-9.61666666666666,,20000.0,3.231,,
AIOUN ATROUSS,2772801,16.65,-9.61666666666666,,14800.0,3.231,,
AIOUN ATROUSS,2772810,16.65,-9.61666666666666,,19000.0,3.261,,
AIOUN ATROUSS,2772842,16.65,-9.61666666666666,,20000.0,3.63,,
AIOUN ATROUSS,2772846,16.65,-9.61666666666666,,20000.0,3.63,,
AIOUN ATROUSS,2772861,16.65,-9.61666666666666,,20000.0,3.75,240.0,
AIOUN ATROUSS,2772906,16.65,-9.61666666666666,,37800.0,4.485,282.0,41.25
AIOUN ATROUSS,2772956,16.65,-9.61666666666666,,19000.0,4.973,,
AIOUN ATROUSS,2772984,16.65,-9.61666666666666,,10000.0,5.07,,
AIOUN ATROUSS,2773008,16.65,-9.61666666666666,,14800.0,5.0715,,
AIOUN ATROUSS,2773022,16.65,-9.61666666666666,,20000.0,5.101,,
AIOUN ATROUSS,2773042,16.65,-9.61666666666666,,14800.0,5.212,,
AIOUN ATROUSS,2773096,16.65,-9.61666666666666,,14800.0,5.415,,
AIOUN ATROUSS,2773216,16.65,-9.61666666666666,,37800.0,6.945,285.0,41.25
AIOUN ATROUSS,2773292,16.65,-9.61666666666666,,37800.0,7.69,282.0,41.25
AIOUN ATROUSS,2773360,16.65,-9.61666666666666,,14800.0,7.9745,,
AIOUN ATROUSS,2773444,16.65,-9.61666666666666,,14800.0,9.116,,
AIOUN ATROUSS,2773500,16.65,-9.61666666666666,,14800.0,9.8965,,
AIOUN ATROUSS,2772634,16.7166666666666,-9.66666666666666,,17000.0,115.7,,
AIOUN EL ATROUSS,2772755,16.65,-9.61666666666666,,36000.0,3.0394,,
AIOUN EL ATROUSS,2773122,16.65,-9.61666666666666,,36000.0,5.7034,,
AIOUN EL ATROUSS,2773183,16.65,-9.61666666666666,,36000.0,6.7524,,
AIOUN EL ATROUSS,2773409,16.65,-9.61666666666666,,36000.0,8.9844,,
AKJOUJT,2772640,19.7166666666666,-14.3833333333333,,3000.0,118.7,,
AKJOUJT,2772719,19.75,-14.3833333333333,,13000.0,2.4575,,
AKJOUJT,2772758,19.75,-14.3833333333333,,36000.0,3.0394,,
AKJOUJT,2772782,19.75,-14.3833333333333,,24800.0,3.1955,,
AKJOUJT,2772784,19.75,-14.3833333333333,,24800.0,3.1985,,
AKJOUJT,2772825,19.75,-14.3833333333333,,13000.0,3.363,,
AKJOUJT,2772888,19.75,-14.3833333333333,,13000.0,4.0215,,
AKJOUJT,2772937,19.75,-14.3833333333333,,24800.0,4.8235,,
AKJOUJT,2772940,19.75,-14.3833333333333,,24800.0,4.8265,,
AKJOUJT,2773000,19.75,-14.3833333333333,,10000.0,5.07,,
AKJOUJT,2773079,19.75,-14.3833333333333,,24800.0,5.3555,,
AKJOUJT,2773081,19.75,-14.3833333333333,,24800.0,5.3585,,
AKJOUJT,2773085,19.75,-14.3833333333333,,24800.0,5.3885,,
AKJOUJT,2773088,19.75,-14.3833333333333,,24800.0,5.3915,,
AKJOUJT,2773125,19.75,-14.3833333333333,,36000.0,5.7034,,
AKJOUJT,2773271,19.75,-14.3833333333333,,14800.0,7.466,215.0,
AKJOUJT,2773345,19.75,-14.3833333333333,,14800.0,7.9595,,
AKJOUJT,2773378,19.75,-14.3833333333333,,17000.0,8.0585,,
ALEG,2772605,17.05,-13.9166666666666,,20000.0,10.43,,
ALEG,2772689,17.05,-13.9166666666666,,14800.0,161.19,,
ALEG,2772779,17.05,-13.9166666666666,,10000.0,3.187,,
ALEG,2773012,17.05,-13.9166666666666,,14800.0,5.0715,,
ALEG,2773035,17.05,-13.9166666666666,,10000.0,5.15,,
ALEG,2773113,17.05,-13.9166666666666,,14800.0,5.4315,,
ALEG,2773286,17.05,-13.9166666666666,,20000.0,7.615,,
ALEG,2773342,17.05,-13.9166666666666,,14800.0,7.9565,,
AMOURJ,2772820,16.1,-7.26666666666666,,10000.0,3.31,,
AMOURJ,2772980,16.1,-7.26666666666666,,20000.0,5.07,,
AMOURJ,2773018,16.1,-7.26666666666666,,10000.0,5.077,,
AMOURJ,2773355,16.1,-7.26666666666666,,4800.0,7.9715,,
ATAR,2772738,20.5,-13.0333333333333,,19000.0,2.614,,
ATAR,2773141,20.5,-13.0333333333333,,20000.0,5.7692,,
ATAR,2772637,20.5166666666666,-13.05,,3000.0,118.3,,
ATAR,2772757,20.5166666666666,-13.05,,36000.0,3.0394,,
ATAR,2772789,20.5166666666666,-13.05,,13000.0,3.222,,
ATAR,2772860,20.5166666666666,-13.05,,20000.0,3.7485,,
ATAR,2772913,20.5166666666666,-13.05,,20000.0,4.5315,,
ATAR,2772975,20.5166666666666,-13.05,,14800.0,5.0685,,
ATAR,2772997,20.5166666666666,-13.05,,10000.0,5.07,,
ATAR,2773010,20.5166666666666,-13.05,,14800.0,5.0715,,
ATAR,2773043,20.5166666666666,-13.05,,14800.0,5.212,,
ATAR,2773099,20.5166666666666,-13.05,,14800.0,5.415,,
ATAR,2773124,20.5166666666666,-13.05,,36000.0,5.7034,,
ATAR,2773185,20.5166666666666,-13.05,,36000.0,6.7524,,
ATAR,2773190,20.5166666666666,-13.05,,19000.0,6.785,,
ATAR,2773201,20.5166666666666,-13.05,,20000.0,6.8015,,
ATAR,2773248,20.5166666666666,-13.05,,13000.0,7.344,,
ATAR,2773276,20.5166666666666,-13.05,,20000.0,7.5015,,
ATAR,2773330,20.5166666666666,-13.05,,14800.0,7.9385,,
ATAR,2773411,20.5166666666666,-13.05,,36000.0,8.9844,,
ATAR,2773426,20.5166666666666,-13.05,,14000.0,84.1,,
ATAR,2773430,20.5166666666666,-13.05,,14000.0,84.3,,
ATAR,2773434,20.5166666666666,-13.05,,14000.0,84.5,,
ATAR,2773446,20.5166666666666,-13.05,,14800.0,9.116,,
ATAR,2773460,20.5166666666666,-13.05,,24800.0,9.26,,
ATAR,2772635,20.4833333333333,-13.0666666666666,,17000.0,115.9,,
BASSIKOUNOU,2772819,15.8666666666666,-5.95,,10000.0,3.31,,
BASSIKOUNOU,2772977,15.8666666666666,-5.95,,10000.0,5.07,,
BASSIKOUNOU,2773017,15.8666666666666,-5.95,,10000.0,5.077,,
BASSIKOUNOU,2773352,15.8666666666666,-5.95,,4800.0,7.9715,,
BIR MOGHREIN,2772835,25.15,-11.55,,14800.0,3.526,,
BIR MOGHREIN,2773123,25.15,-11.55,,36000.0,5.7034,,
BIR MOGHREIN,2773026,25.2166666666666,-11.55,,21100.0,5.1075,,
BIR MOGHREIN,2773373,25.2166666666666,-11.55,,21100.0,8.0375,,
BIR MOGHREIN,2773445,25.2166666666666,-11.55,,14800.0,9.116,,
BIR MOGHREIN,2772963,25.2333333333333,-11.55,,14800.0,4.985,,
BIR MOGHREIN,2773075,25.2333333333333,-11.55,,14800.0,5.345,,
BIR MOGHREIN,2773327,25.2333333333333,-11.55,,14800.0,7.9385,,
BIR MOGHREIN,2772642,25.2166666666666,-11.5666666666666,,3000.0,118.9,,
BIR MOGHREIN,2772756,25.2166666666666,-11.5666666666666,,36000.0,3.0394,,
BIR MOGHREIN,2772788,25.2166666666666,-11.5666666666666,,20000.0,3.222,,
BIR MOGHREIN,2773184,25.2166666666666,-11.5666666666666,,36000.0,6.7524,,
BIR MOGHREIN,2773247,25.2166666666666,-11.5666666666666,,20000.0,7.344,,
BIR MOGHREIN,2773410,25.2166666666666,-11.5666666666666,,36000.0,8.9844,,
BOGHE,2772770,16.5833333333333,-14.25,,20000.0,3.165,,
BOGHE,2773343,16.5833333333333,-14.25,,4800.0,7.9565,,
BOU LANOUAR,2772837,21.25,-16.5,,4800.0,3.54,,
BOU LANOUAR,2772946,21.25,-16.5,,4800.0,4.8925,,
BOUMDEIT,2773320,17.45,-11.35,,4800.0,7.9315,,
BOUSTEILLA,2772981,15.5666666666666,-8.06666666666666,,10000.0,5.07,,
BOUTILIMIT,2773001,17.15,-14.6833333333333,,10000.0,5.07,,
BOUTILIMIT,2773135,17.15,-14.6833333333333,,17000.0,5.761,,
BOUTILIMIT,2773208,17.15,-14.6833333333333,,17000.0,6.8775,,
BOUTILIMIT,2773346,17.15,-14.6833333333333,,4800.0,7.9595,,
BOUTILIMIT,2773379,17.15,-14.6833333333333,,17000.0,8.0585,,
BOUTILIMIT,2772606,17.55,-14.7,,20000.0,10.43,,
BOUTILIMIT,2772690,17.55,-14.7,,14800.0,161.19,,
BOUTILIMIT,2773287,17.55,-14.7,,20000.0,7.615,,
C TIMIRIS,2772653,19.3666666666666,-16.5,,23000.0,123.45,,
C TIMIRIS,2772660,19.3666666666666,-16.5,,23000.0,131.7,,
C TIMIRIS,2773138,19.3666666666666,-16.5,,20000.0,5.761,,
C TIMIRIS,2773172,19.3666666666666,-16.5,,23000.0,6.232,,
C TIMIRIS,2773238,19.3666666666666,-16.5,,20000.0,7.3125,,
CHINGUETTI,2773091,20.45,-12.35,,20000.0,5.407,,
CHINGUETTI,2772730,20.6166666666666,-12.35,,14800.0,2.562,,
CHINGUETTI,2772732,20.6166666666666,-12.35,,14800.0,2.562,,
CHINGUETTI,2772745,20.6166666666666,-12.35,,27000.0,2.814,,
CHINGUETTI,2772746,20.6166666666666,-12.35,,27000.0,2.814,,
CHINGUETTI,2773383,20.6166666666666,-12.35,,14800.0,8.0605,,
