site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq,antenna.azi,antenna.hbw
AROUNDOU,2891075,14.8,-12.3666666666666,,13000.0,4.3,,
AROUNDOU,2891077,14.8,-12.3666666666666,,10000.0,4.3,,
BAKEL,2891123,14.9,-12.45,,10000.0,4.93,,
BAKEL,2891403,14.9666666666666,-12.5833333333333,,17000.0,7.87,270.0,
BALA,2891322,13.9736111111111,-13.315,130.0,7000.0,6780.0,65.1,1.3
BALA,2891417,13.9736111111111,-13.315,130.0,7000.0,7020.0,65.1,1.3
BAMBEY,2891324,14.6963888888888,-16.4555555555555,79.0,1800.0,6820.0,287.0,1.8
BAMBEY,2891325,14.6963888888888,-16.4555555555555,79.0,1800.0,6860.0,287.0,1.8
BAMBEY,2891327,14.6963888888888,-16.4555555555555,74.0,1800.0,6900.0,102.2,1.8
BAMBEY,2891328,14.6963888888888,-16.4555555555555,74.0,1800.0,6940.0,102.2,1.8
BANDAFASSI,2890474,12.5333333333333,-12.3,35.0,5000.0,1446.25,80.6,24.0
BIGNONA,2891070,12.7,-16.2,,10000.0,4.1,,
BIGNONA,2891135,12.7,-16.2,,10000.0,4.93,,
BIGNONA,2891254,12.7,-16.2,,10000.0,5.8885,,
BIGNONA,2891350,12.8,-16.2333333333333,,13000.0,7.517,,
BIGNONA,2891351,12.8,-16.2333333333333,,10000.0,7.517,,
BOUIGUEL BAMBA,2891310,14.1255555555555,-12.975,188.0,7000.0,6480.0,75.3,1.3
BOUIGUEL BAMBA,2891318,14.1255555555555,-12.975,188.0,7000.0,6720.0,75.3,1.3
DAGANA,2890468,16.5202777777777,-15.5111111111111,25.0,6000.0,1442.75,44.0,24.0
DAKAR,2891089,14.25,-17.2833333333333,,33000.0,4.641,,
DAKAR,2891090,14.25,-17.2833333333333,,33000.0,4.641,,
DAKAR,2891091,14.25,-17.2833333333333,,33000.0,4.641,,
DAKAR,2891037,14.6833333333333,-17.2833333333333,,20000.0,3.6764,,
DAKAR,2890239,14.7166666666666,-17.2833333333333,,37000.0,1.9264,,
DAKAR,2890247,14.75,-17.2833333333333,,34800.0,10.3448,,
DAKAR,2890255,14.75,-17.2833333333333,,34800.0,10.4455,,
DAKAR,2890256,14.75,-17.2833333333333,,34800.0,10.4455,,
DAKAR,2890257,14.75,-17.2833333333333,,34800.0,10.4555,,
DAKAR,2890258,14.75,-17.2833333333333,,34800.0,10.4555,,
DAKAR,2890261,14.75,-17.2833333333333,,34800.0,10.526,,
DAKAR,2890262,14.75,-17.2833333333333,,34800.0,10.526,,
DAKAR,2890274,14.75,-17.2833333333333,,30000.0,10.91,,
