site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq
ABUKO,2574109,13.45,-16.5833333333333,,10000.0,423.5
BANJUL,2574041,13.45,-16.5666666666666,,10000.0,158.0
BANJUL,2574086,13.45,-16.5666666666666,,17800.0,3.809
BANJUL,2574091,13.45,-16.5666666666666,,17800.0,3.809
BANJUL,2574096,13.45,-16.5666666666666,,17800.0,3.809
BANJUL,2574105,13.45,-16.5666666666666,,20000.0,4.465
BANJUL,2574113,13.45,-16.5666666666666,,20000.0,5.465
BANJUL,2574108,13.4666666666666,-16.65,,10000.0,410.5
BANJUL,2574071,13.4666666666666,-16.7166666666666,,16000.0,2.597
BANJUL,2574098,13.4666666666666,-16.7166666666666,,16000.0,3.971
BANJUL,2574099,13.4666666666666,-16.7166666666666,,16000.0,3.971
BANJUL,2574120,13.4666666666666,-16.7166666666666,,16000.0,7.4
BANJUL,2574121,13.4666666666666,-16.7166666666666,,16000.0,7.4
BANJUL,2574024,13.2666666666666,-16.8333333333333,,27800.0,0.438
BANJUL,2574025,13.2666666666666,-16.8333333333333,,27800.0,0.438
BANJUL,2574029,13.2666666666666,-16.8333333333333,,38800.0,12.327
BANJUL,2574030,13.2666666666666,-16.8333333333333,,38800.0,12.327
BANJUL,2574030,13.2666666666666,-16.8333333333333,,38800.0,12.327
BANJUL,2574031,13.2666666666666,-16.8333333333333,,34800.0,12.327
BANJUL,2574033,13.2666666666666,-16.8333333333333,,30000.0,13.0425
BANJUL,2574034,13.2666666666666,-16.8333333333333,,34800.0,13.695
BANJUL,2574034,13.2666666666666,-16.8333333333333,,34800.0,13.695
BANJUL,2574035,13.2666666666666,-16.8333333333333,,34800.0,13.695
BANJUL,2574036,13.2666666666666,-16.8333333333333,,35400.0,13.695
BANJUL,2574037,13.2666666666666,-16.8333333333333,,35400.0,13.797
BANJUL,2574037,13.2666666666666,-16.8333333333333,,35400.0,13.797
BANJUL,2574038,13.2666666666666,-16.8333333333333,,35400.0,13.797
BANJUL,2574039,13.2666666666666,-16.8333333333333,,38800.0,13.797
BANJUL,2574040,13.2666666666666,-16.8333333333333,,35400.0,13.797
BANJUL,2574044,13.2666666666666,-16.8333333333333,,35400.0,16.1235
BANJUL,2574050,13.2666666666666,-16.8333333333333,,35400.0,18.405
BANJUL,2574050,13.2666666666666,-16.8333333333333,,35400.0,18.405
BANJUL,2574051,13.2666666666666,-16.8333333333333,,38800.0,18.624
BANJUL,2574052,13.2666666666666,-16.8333333333333,,34800.0,18.624
BANJUL,2574053,13.2666666666666,-16.8333333333333,,38800.0,18.624
BANJUL,2574054,13.2666666666666,-16.8333333333333,,35400.0,18.624
BANJUL,2574055,13.2666666666666,-16.8333333333333,,34800.0,19.115
BANJUL,2574072,13.2666666666666,-16.8333333333333,,30000.0,2.7534
BANJUL,2574073,13.2666666666666,-16.8333333333333,,24800.0,2.7564
BANJUL,2574074,13.2666666666666,-16.8333333333333,,30000.0,2.7564
BANJUL,2574078,13.2666666666666,-16.8333333333333,,34800.0,3.532
BANJUL,2574079,13.2666666666666,-16.8333333333333,,30000.0,3.7514
BANJUL,2574080,13.2666666666666,-16.8333333333333,,24800.0,3.7544
BANJUL,2574081,13.2666666666666,-16.8333333333333,,30000.0,3.7544
BANJUL,2574106,13.2666666666666,-16.8333333333333,,30000.0,4.82
BANJUL,2574107,13.2666666666666,-16.8333333333333,,30000.0,4.82
BANJUL,2574110,13.2666666666666,-16.8333333333333,,34800.0,5.11
BANJUL,2574111,13.2666666666666,-16.8333333333333,,34800.0,5.11
BANJUL,2574117,13.2666666666666,-16.8333333333333,,34800.0,6.885
BANJUL,2574118,13.2666666666666,-16.8333333333333,,34800.0,6.885
BANJUL,2574119,13.2666666666666,-16.8333333333333,,35400.0,6.885
BANJUL,2574129,13.2666666666666,-16.8333333333333,,30000.0,8.441
BANJUL,2574135,13.2666666666666,-16.8333333333333,,34800.0,9.97
BANJUL,2574136,13.2666666666666,-16.8333333333333,,34800.0,9.97
BASSE,2574082,13.3166666666666,-14.2166666666666,,17800.0,3.809
BASSE,2574087,13.3166666666666,-14.2166666666666,,17800.0,3.809
BASSE,2574092,13.3166666666666,-14.2166666666666,,17800.0,3.809
GEORGETOWN,2574083,13.5166666666666,-14.2666666666666,,17800.0,3.809
GEORGETOWN,2574088,13.5166666666666,-14.2666666666666,,17800.0,3.809
GEORGETOWN,2574093,13.5166666666666,-14.2666666666666,,17800.0,3.809
KAUR,2574048,13.7,-15.3333333333333,,10000.0,169.6
KAUR,2574049,13.7,-15.3333333333333,,10000.0,172.4
KEREWAN,2574046,13.4833333333333,-16.0833333333333,,10000.0,168.0
KEREWAN,2574047,13.4833333333333,-16.0833333333333,,10000.0,168.8
KUNTAUR,2574045,13.6666666666666,-14.8833333333333,,10000.0,162.4
KUNTAUR,2574084,13.6333333333333,-14.9,,17800.0,3.809
KUNTAUR,2574089,13.6333333333333,-14.9,,17800.0,3.809
KUNTAUR,2574094,13.6333333333333,-14.9,,17800.0,3.809
MANSA KONKO,2574085,13.45,-15.5166666666666,,17800.0,3.809
MANSA KONKO,2574090,13.45,-15.5166666666666,,17800.0,3.809
MANSA KONKO,2574095,13.45,-15.5166666666666,,17800.0,3.809
MANSA KONKO,2574042,13.45,-15.5333333333333,,10000.0,158.8
MANSA KONKO,2574043,13.45,-15.5333333333333,,10000.0,159.6
MASSEMBE,2574097,13.4,-15.6333333333333,,17000.0,3.842
YUNDUM QQ,2574122,13.35,-16.65,,17000.0,7.7625
