site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq,antenna.azi,antenna.hbw
AGARTALA,2604725,23.8333333333333,91.25,,25400.0,2.6075,,
AGARTALA,2612589,23.8333333333333,91.25,,25400.0,5.215,,
AGARTALA,2612590,23.8333333333333,91.25,,26000.0,5.215,,
AGARTALA,2612597,23.8333333333333,91.25,,25400.0,5.215,,
AGARTALA,2612598,23.8333333333333,91.25,,26000.0,5.215,,
AGARTALA,2607052,23.8833333333333,91.25,,29000.0,3.0805,,
AGARTALA,2606917,23.8333333333333,91.3833333333333,,25400.0,3.0304,,
AGARTALA,2606926,23.8333333333333,91.3833333333333,,25400.0,3.03205,,
AGARTALA,2606935,23.8333333333333,91.3833333333333,,25400.0,3.0334,,
AGRA,2610784,27.0,78.0,,26000.0,4.7035,,
AGRA,2610825,27.0,78.0,,24800.0,4.71505,,
AGRA,2610829,27.0,78.0,,24800.0,4.7164,,
AGRA,2610834,27.0,78.0,,24800.0,4.7194,,
AGRA,2610859,27.1666666666666,78.0833333333333,,26000.0,4.7245,,
AGRA,2616042,27.1666666666666,78.0833333333333,,13000.0,7.952,,
AHMEDABAD,2612680,23.0333333333333,72.6333333333333,,20000.0,5.274,,
AHMEDABAD,2607045,23.0666666666666,72.6333333333333,,29000.0,3.0805,,
ALLAHABAD,2612434,25.4666666666666,81.9,,13000.0,5.124,,
ALLAHABAD,2612770,25.4666666666666,81.9,,10000.0,5.336,,
ALLAHABAD,2612772,25.4666666666666,81.9,,10000.0,5.336,,
AMBALA,2610783,30.0,77.0,,26000.0,4.7035,,
AMBALA,2610824,30.0,77.0,,24800.0,4.71505,,
AMBALA,2610828,30.0,77.0,,24800.0,4.7164,,
AMBALA,2610833,30.0,77.0,,24800.0,4.7194,,
AMBALA,2606912,30.35,77.0,,25400.0,3.0304,,
AMBALA,2606921,30.35,77.0,,25400.0,3.03205,,
AMBALA,2606930,30.35,77.0,,25400.0,3.0334,,
