terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to
26336,RECORDED,75008577,AGL,,,26336,,AGL,,,,1A2,,GE75,,1,1.503,12,S,35,0,-12.583333333333334,-0.2196205975426161,13,E,25,0,13.416666666666666,0.2341650079759019,BENGUELA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.498,1.5079999999999998,26336,HJ,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,,7.4,,,50.0,500.0,2300.0
26336,RECORDED,75008577,AGL,,,26336,,AGL,,,,1A2,,GE75,,1,1.503,12,S,35,0,-12.583333333333334,-0.2196205975426161,13,E,25,0,13.416666666666666,0.2341650079759019,BENGUELA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.498,1.5079999999999998,26336,HN,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,,7.4,,,50.0,500.0,2300.0
24328,RECORDED,75006548,AGL,,,24328,,AGL,,,,1A2,,GE75,,1,1.35,5,S,35,0,-5.583333333333333,-0.097447549903015,12,E,12,0,12.2,0.2129301687433046,CABINDA,,10.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3450000000000002,1.355,24328,HJ,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,,0.4,,,56.0,600.0,2200.0
24328,RECORDED,75006548,AGL,,,24328,,AGL,,,,1A2,,GE75,,1,1.35,5,S,35,0,-5.583333333333333,-0.097447549903015,12,E,12,0,12.2,0.2129301687433046,CABINDA,,10.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3450000000000002,1.355,24328,HN,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,,0.4,,,56.0,600.0,2200.0
26791,RECORDED,75009033,AGL,,,26791,,AGL,,,,1A2,,GE75,,1,1.566,5,S,35,0,-5.583333333333333,-0.097447549903015,12,E,12,0,12.2,0.2129301687433046,CABINDA,,10.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.5610000000000002,1.571,26791,HN,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,,7.4,,,50.0,1700.0,100.0
26911,RECORDED,75009161,AGL,,,26911,,AGL,,,,1A2,,GE75,,1,1.584,13,S,45,0,-13.75,-0.2399827721492162,15,E,0,0,15.0,0.261799387799145,CACONDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.574,1.594,26911,HJ,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,,0.0,1.0,30.0,50.0,0.0,2400.0
26911,RECORDED,75009161,AGL,,,26911,,AGL,,,,1A2,,GE75,,1,1.584,13,S,45,0,-13.75,-0.2399827721492162,15,E,0,0,15.0,0.261799387799145,CACONDA,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.574,1.594,26911,HN,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,,0.0,1.0,30.0,50.0,0.0,2400.0
23610,RECORDED,75005823,AGL,,,23610,,AGL,,,,1A2,,GE75,,1,1.26,9,S,55,0,-9.916666666666666,-0.1730784841561014,14,E,55,0,14.916666666666666,0.2603449467558164,DALATANDO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1978-12-12 00:00:00,1.25,1.27,23610,HJ,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,62.0,0.0,2400.0
23610,RECORDED,75005823,AGL,,,23610,,AGL,,,,1A2,,GE75,,1,1.26,9,S,55,0,-9.916666666666666,-0.1730784841561014,14,E,55,0,14.916666666666666,0.2603449467558164,DALATANDO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1978-12-12 00:00:00,1.25,1.27,23610,HN,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,62.0,0.0,2400.0
24929,RECORDED,75007153,AGL,,,24929,,AGL,,,,1A2,,GE75,,1,1.422,9,S,38,0,-9.633333333333333,-0.1681333846087842,20,E,24,0,20.4,0.3560471674068372,HENRIQCARVACHO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.417,1.4269999999999998,24929,HN,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,,0.4,,,54.0,1700.0,100.0
23488,RECORDED,75005701,AGL,,,23488,,AGL,,,,1A2,,GE75,,1,1.242,9,S,40,0,-9.666666666666666,-0.1687151610261156,20,E,24,0,20.4,0.3560471674068372,HENRIQCARVALHO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.232,1.252,23488,HJ,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,62.0,0.0,2400.0
23488,RECORDED,75005701,AGL,,,23488,,AGL,,,,1A2,,GE75,,1,1.242,9,S,40,0,-9.666666666666666,-0.1687151610261156,20,E,24,0,20.4,0.3560471674068372,HENRIQCARVALHO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.232,1.252,23488,HN,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,62.0,0.0,2400.0
22862,RECORDED,75005068,AGL,,,22862,,AGL,,,,1A2,,GE75,,1,1.161,12,S,47,0,-12.783333333333331,-0.2231112560466047,15,E,45,0,15.75,0.2748893571891022,HUAMBO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.156,1.166,22862,HJ,1,10000.0,40.0,10,A3E--,ANALOG,5.0,A,,10.4,,,65.0,500.0,2300.0
