terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
26662,RECORDED,75008903,BEN,,,26662,,BEN,,,,1A2,,GE75,,1,1.548,7,N,14,0,7.233333333333333,0.126245482560921,2,E,0,0,2.0,0.034906585039886,ABOMEY,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.543,1.553,26662,HJ,1,10000.0,40.0,10,A3E--,ANALOG,5.0,A,0.0,10.4,,,48.0,500.0,2400.0,120
26662,RECORDED,75008903,BEN,,,26662,,BEN,,,,1A2,,GE75,,1,1.548,7,N,14,0,7.233333333333333,0.126245482560921,2,E,0,0,2.0,0.034906585039886,ABOMEY,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.543,1.553,26662,HN,1,10000.0,40.0,10,A3E--,ANALOG,5.0,A,0.0,10.4,,,48.0,500.0,2400.0,120
27788,RECORDED,75010039,BEN,,,27788,,BEN,,,,1A2,,GE75,,1,1.602,7,N,14,0,7.233333333333333,0.126245482560921,2,E,0,0,2.0,0.034906585039886,ABOMEY,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5970000000000002,1.607,27788,HJ,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,47.0,500.0,2400.0,120
27788,RECORDED,75010039,BEN,,,27788,,BEN,,,,1A2,,GE75,,1,1.602,7,N,14,0,7.233333333333333,0.126245482560921,2,E,0,0,2.0,0.034906585039886,ABOMEY,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5970000000000002,1.607,27788,HN,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,47.0,500.0,2400.0,120
23556,RECORDED,75005769,BEN,,,23556,,BEN,,,,1A2,,GE75,,1,1.251,6,N,57,0,6.95,0.1213003830136038,1,E,40,0,1.6666666666666663,0.0290888208665716,APLAHOUE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.246,1.2559999999999998,23556,HJ,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,0.0,7.4,,,60.0,500.0,2400.0,120
23556,RECORDED,75005769,BEN,,,23556,,BEN,,,,1A2,,GE75,,1,1.251,6,N,57,0,6.95,0.1213003830136038,1,E,40,0,1.6666666666666663,0.0290888208665716,APLAHOUE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.246,1.2559999999999998,23556,HN,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,0.0,7.4,,,60.0,500.0,2400.0,120
26797,RECORDED,75009039,BEN,,,26797,,BEN,,,,1A2,,GE75,,1,1.566,6,N,57,0,6.95,0.1213003830136038,1,E,40,0,1.6666666666666663,0.0290888208665716,APLAHOUE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.5610000000000002,1.571,26797,HJ,1,100000.0,50.0,10,A3E--,ANALOG,5.0,A,0.0,20.4,,,48.0,800.0,1800.0,120
23104,RECORDED,75005315,BEN,,,23104,,BEN,,,,1A2,,GE75,,1,1.197,6,N,31,0,6.516666666666667,0.1137372895882952,1,E,41,0,1.6833333333333331,0.0293797090752373,ATHIEME,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.1920000000000002,1.202,23104,HJ,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,0.0,7.4,,,63.0,500.0,2400.0,120
23104,RECORDED,75005315,BEN,,,23104,,BEN,,,,1A2,,GE75,,1,1.197,6,N,31,0,6.516666666666667,0.1137372895882952,1,E,41,0,1.6833333333333331,0.0293797090752373,ATHIEME,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.1920000000000002,1.202,23104,HN,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,0.0,7.4,,,63.0,500.0,2400.0,120
24103,RECORDED,75006323,BEN,,,24103,,BEN,,,,1A2,,GE75,,1,1.323,10,N,14,0,10.233333333333333,0.17860536012075,2,E,39,0,2.65,0.0462512251778489,BIMBEREKE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.318,1.3279999999999998,24103,HJ,1,10000.0,40.0,10,A3E--,ANALOG,5.0,A,0.0,10.4,,,57.0,500.0,2400.0,120
