terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
21767,RECORDED,75003969,COD,,,21767,,COD,,,,1A2,,GE75,,1,1.008,3,S,25,0,-3.4166666666666665,-0.0596320827764719,17,E,26,0,17.433333333333334,0.3042690662643396,BANDUNDU,,0.1,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.0035,1.0125,21767,HJ,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,17.4,,,70.0,0.0,2400.0,120
21767,RECORDED,75003969,COD,,,21767,,COD,,,,1A2,,GE75,,1,1.008,3,S,25,0,-3.4166666666666665,-0.0596320827764719,17,E,26,0,17.433333333333334,0.3042690662643396,BANDUNDU,,0.1,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.0035,1.0125,21767,HN,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,17.4,,,70.0,0.0,2400.0,120
26264,RECORDED,75008505,COD,,,26264,,COD,,,,1A2,,GE75,,1,1.485,0,N,30,0,0.5,0.0087266462599715,29,E,28,0,29.466666666666665,0.514290352920987,BENI,,0.03,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,26264,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,60.0,0.0,2400.0,120
26264,RECORDED,75008505,COD,,,26264,,COD,,,,1A2,,GE75,,1,1.485,0,N,30,0,0.5,0.0087266462599715,29,E,28,0,29.466666666666665,0.514290352920987,BENI,,0.03,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,26264,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,60.0,0.0,2400.0,120
26840,RECORDED,75009084,COD,,,26840,,COD,,,,1A2,,GE75,,1,1.566,5,S,50,0,-5.833333333333333,-0.1018108730330008,13,E,35,0,13.583333333333334,0.2370738900625591,BOMA,,0.03,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.5615,1.5705,26840,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.6,,,60.0,0.0,2400.0,120
26840,RECORDED,75009084,COD,,,26840,,COD,,,,1A2,,GE75,,1,1.566,5,S,50,0,-5.833333333333333,-0.1018108730330008,13,E,35,0,13.583333333333334,0.2370738900625591,BOMA,,0.03,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.5615,1.5705,26840,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.6,,,60.0,0.0,2400.0,120
25297,RECORDED,75007536,COD,,,25297,,COD,,,,1A2,,GE75,,1,1.467,0,N,11,0,0.1833333333333333,0.0031997702953228,22,E,27,0,22.45,0.3918264170727203,BUMBA,,0.03,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.4625,1.4715,25297,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.6,,,60.0,0.0,2400.0,120
25297,RECORDED,75007536,COD,,,25297,,COD,,,,1A2,,GE75,,1,1.467,0,N,11,0,0.1833333333333333,0.0031997702953228,22,E,27,0,22.45,0.3918264170727203,BUMBA,,0.03,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.4625,1.4715,25297,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.6,,,60.0,0.0,2400.0,120
23842,RECORDED,75006055,COD,,,23842,,COD,,,,1A2,,GE75,,1,1.287,0,N,10,0,0.1666666666666666,0.0029088820866571,29,E,10,0,29.166666666666668,0.5090543651650042,BUTEMBO,,0.03,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.2825,1.2915,23842,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.4,,,60.0,0.0,2400.0,120
23842,RECORDED,75006055,COD,,,23842,,COD,,,,1A2,,GE75,,1,1.287,0,N,10,0,0.1666666666666666,0.0029088820866571,29,E,10,0,29.166666666666668,0.5090543651650042,BUTEMBO,,0.03,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.2825,1.2915,23842,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.4,,,60.0,0.0,2400.0,120
