terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,call_sign,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,freq_assgn,lat_deg,lat_ns,lat_min,lat_sec,lat_dec,lat_rdn,long_deg,long_ew,long_min,long_sec,long_dec,long_rdn,site_name,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,pwr_kw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,azm_max_e,e_max,emrp_kw,emrp_dbw,ant_hgt_m,op_hh_fr,op_hh_to
19734,RECORDED,75001912,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.747,13,N,15,0,13.25,0.2312561258892447,14,W,15,0,-14.25,-0.2487094184091877,BASSE 1,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.7425,0.7515,19734,HJ,1,2.0,33.0103,9,A3E--,ANALOG,5.0,A,,3.0,,,49.0,600.0,2400.0
19734,RECORDED,75001912,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.747,13,N,15,0,13.25,0.2312561258892447,14,W,15,0,-14.25,-0.2487094184091877,BASSE 1,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.7425,0.7515,19734,HN,1,2.0,33.0103,9,A3E--,ANALOG,5.0,A,,3.0,,,49.0,600.0,2400.0
20006,RECORDED,75002191,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.774,13,N,15,0,13.25,0.2312561258892447,14,W,15,0,-14.25,-0.2487094184091877,BASSE 2,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.7695000000000001,0.7785,20006,HJ,1,2.0,33.0103,9,A3E--,ANALOG,5.0,A,,3.0,,,49.0,600.0,2400.0
20006,RECORDED,75002191,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.774,13,N,15,0,13.25,0.2312561258892447,14,W,15,0,-14.25,-0.2487094184091877,BASSE 2,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.7695000000000001,0.7785,20006,HN,1,2.0,33.0103,9,A3E--,ANALOG,5.0,A,,3.0,,,49.0,600.0,2400.0
19019,RECORDED,75001188,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.648,13,N,18,0,13.3,0.2321287905152419,16,W,33,0,-16.55,-0.2888519912050566,BONTO 1,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.6435000000000001,0.6525,19019,HJ,1,20.0,43.0103,9,A3E--,ANALOG,5.0,B,78.0,16.0103,,,,600.0,2400.0
19019,RECORDED,75001188,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.648,13,N,18,0,13.3,0.2321287905152419,16,W,33,0,-16.55,-0.2888519912050566,BONTO 1,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.6435000000000001,0.6525,19019,HN,1,20.0,43.0103,9,A3E--,ANALOG,5.0,B,78.0,16.0103,,,,600.0,2400.0
19245,RECORDED,75001419,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.684,13,N,18,0,13.3,0.2321287905152419,16,W,33,0,-16.55,-0.2888519912050566,BONTO 2,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.6795000000000001,0.6885,19245,HJ,1,20.0,43.0103,9,A3E--,ANALOG,5.0,B,78.0,16.0103,,,,600.0,2400.0
19245,RECORDED,75001419,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.684,13,N,18,0,13.3,0.2321287905152419,16,W,33,0,-16.55,-0.2888519912050566,BONTO 2,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.6795000000000001,0.6885,19245,HN,1,20.0,43.0103,9,A3E--,ANALOG,5.0,B,78.0,16.0103,,,,600.0,2400.0
20960,RECORDED,75003158,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.909,13,N,28,0,13.466666666666669,0.2350376726018991,16,W,36,0,-16.6,-0.2897246558310538,RADIO SYD,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.9045,0.9135,20960,HJ,1,5.0,36.9897,9,A3E--,ANALOG,5.0,A,,7.4,,,83.0,600.0,200.0
20960,RECORDED,75003158,GMB,,,,,GMB,,,,1A2,,GE75,,1,0.909,13,N,28,0,13.466666666666669,0.2350376726018991,16,W,36,0,-16.6,-0.2897246558310538,RADIO SYD,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,0.9045,0.9135,20960,HN,1,5.0,36.9897,9,A3E--,ANALOG,5.0,A,,7.4,,,83.0,600.0,200.0
