terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
23516,RECORDED,75005729,IND,,,23516,,IND,,,,1A2,,GE75,,3,1.242,19,N,48,0,19.8,0.3455751918948714,78,E,30,0,78.5,1.3700834628155256,ADILABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.232,1.252,23516,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,0.0,15.1,,,120.0,300.0,1000.0,120
25637,RECORDED,75007876,IND,,,25637,,IND,,,,1A2,,GE75,,3,1.485,19,N,48,0,19.8,0.3455751918948714,78,E,30,0,78.5,1.3700834628155256,ADILABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.475,1.495,25637,HJ,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,0.0,0.0,1.0,30.0,100.0,0.0,2400.0,120
25637,RECORDED,75007876,IND,,,25637,,IND,,,,1A2,,GE75,,3,1.485,19,N,48,0,19.8,0.3455751918948714,78,E,30,0,78.5,1.3700834628155256,ADILABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.475,1.495,25637,HN,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,0.0,0.0,1.0,30.0,100.0,0.0,2400.0,120
26691,RECORDED,75008932,IND,,,26691,,IND,,,,1A2,,GE75,,3,1.548,19,N,48,0,19.8,0.3455751918948714,78,E,30,0,78.5,1.3700834628155256,ADILABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.538,1.558,26691,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,0.0,15.1,,,100.0,0.0,2400.0,120
26691,RECORDED,75008932,IND,,,26691,,IND,,,,1A2,,GE75,,3,1.548,19,N,48,0,19.8,0.3455751918948714,78,E,30,0,78.5,1.3700834628155256,ADILABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.538,1.558,26691,HN,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,0.0,15.1,,,100.0,0.0,2400.0,120
3059,RECORDED,80018577,IND,,A,AGARTALA,,IND,,1978-11-23 00:00:00,1985-10-16 00:00:00,1A2,,NTFD_RR,RR11.2,3,1.269,23,N,50,0,23.83333333333333,0.4159701383919748,91,E,23,0,91.38333333333334,1.5949400481141247,AGARTALA,,10.0,,,A,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1975-10-13 00:00:00,1.2645,1.2735,3059,HJ,1,19952.62,43.0,9,A3E--,ANALOG,,A,0.0,15.1,,,120.0,0.0,2400.0,120
3059,RECORDED,80018577,IND,,A,AGARTALA,,IND,,1978-11-23 00:00:00,1985-10-16 00:00:00,1A2,,NTFD_RR,RR11.2,3,1.269,23,N,50,0,23.83333333333333,0.4159701383919748,91,E,23,0,91.38333333333334,1.5949400481141247,AGARTALA,,10.0,,,A,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1975-10-13 00:00:00,1.2645,1.2735,3059,HN,1,19952.62,43.0,9,A3E--,ANALOG,,A,0.0,15.1,,,120.0,0.0,2400.0,120
23690,RECORDED,75005903,IND,,,23690,,IND,,,,1A2,,GE75,,3,1.269,23,N,50,0,23.83333333333333,0.4159701383919748,91,E,23,0,91.38333333333334,1.5949400481141247,AGARTALA,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.2645,1.2735,23690,HJ,1,20000.0,43.0103,9,A3E--,ANALOG,5.0,A,0.0,15.1,,,120.0,0.0,2400.0,120
23690,RECORDED,75005903,IND,,,23690,,IND,,,,1A2,,GE75,,3,1.269,23,N,50,0,23.83333333333333,0.4159701383919748,91,E,23,0,91.38333333333334,1.5949400481141247,AGARTALA,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.2645,1.2735,23690,HN,1,20000.0,43.0103,9,A3E--,ANALOG,5.0,A,0.0,15.1,,,120.0,0.0,2400.0,120
24575,RECORDED,75006797,IND,,,24575,,IND,,,,1A2,,GE75,,3,1.368,23,N,50,0,23.83333333333333,0.4159701383919748,91,E,23,0,91.38333333333334,1.5949400481141247,AGARTALA,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.358,1.378,24575,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,0.0,15.1,,,110.0,300.0,900.0,120
