terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
25912,RECORDED,75008152,MLI,,,25912,,MLI,,,,1A2,,GE75,,1,1.485,13,N,48,0,13.8,0.2408554367752134,10,W,50,0,-10.833333333333334,-0.1890773356327158,BAFOULABE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25912,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,101.0,600.0,2400.0,120
25912,RECORDED,75008152,MLI,,,25912,,MLI,,,,1A2,,GE75,,1,1.485,13,N,48,0,13.8,0.2408554367752134,10,W,50,0,-10.833333333333334,-0.1890773356327158,BAFOULABE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25912,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,101.0,600.0,2400.0,120
25015,RECORDED,75007250,MLI,,,25015,,MLI,,,,1A2,,GE75,,1,1.431,12,N,41,0,12.683333333333334,0.2213659267946104,8,W,2,0,-8.033333333333333,-0.1402081165768754,BAMAKO 2,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4265,1.4355,25015,HJ,1,100000.0,50.0,9,A3E--,ANALOG,5.0,A,0.0,22.1,,,104.0,600.0,2400.0,120
25015,RECORDED,75007250,MLI,,,25015,,MLI,,,,1A2,,GE75,,1,1.431,12,N,41,0,12.683333333333334,0.2213659267946104,8,W,2,0,-8.033333333333333,-0.1402081165768754,BAMAKO 2,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4265,1.4355,25015,HN,1,100000.0,50.0,9,A3E--,ANALOG,5.0,A,0.0,22.1,,,104.0,600.0,2400.0,120
28255,RECORDED,75010506,MLI,,,28255,,MLI,,,,1A2,,GE75,,1,1.602,11,N,25,0,11.416666666666666,0.1992584229360159,7,W,29,0,-7.483333333333333,-0.1306088056909068,BOUGOUNI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28255,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,48.0,600.0,2400.0,120
28255,RECORDED,75010506,MLI,,,28255,,MLI,,,,1A2,,GE75,,1,1.602,11,N,25,0,11.416666666666666,0.1992584229360159,7,W,29,0,-7.483333333333333,-0.1306088056909068,BOUGOUNI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28255,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,48.0,600.0,2400.0,120
27421,RECORDED,75009671,MLI,,,27421,,MLI,,,,1A2,,GE75,,1,1.584,15,N,0,0,15.0,0.261799387799145,2,W,57,0,-2.95,-0.0514872129338318,DOUENTZA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27421,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,65.0,600.0,2400.0,120
27421,RECORDED,75009671,MLI,,,27421,,MLI,,,,1A2,,GE75,,1,1.584,15,N,0,0,15.0,0.261799387799145,2,W,57,0,-2.95,-0.0514872129338318,DOUENTZA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27421,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,65.0,600.0,2400.0,120
25220,RECORDED,75007458,MLI,,,25220,,MLI,,,,1A2,,GE75,,1,1.458,16,N,17,0,16.283333333333335,0.2841977798664052,0,W,3,0,-0.05,-0.0008726646259971,GAO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4535,1.4625,25220,HJ,1,200000.0,53.0103,9,A3E--,ANALOG,5.0,A,0.0,25.1,,,103.0,600.0,2400.0,120
25220,RECORDED,75007458,MLI,,,25220,,MLI,,,,1A2,,GE75,,1,1.458,16,N,17,0,16.283333333333335,0.2841977798664052,0,W,3,0,-0.05,-0.0008726646259971,GAO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4535,1.4625,25220,HN,1,200000.0,53.0103,9,A3E--,ANALOG,5.0,A,0.0,25.1,,,103.0,600.0,2400.0,120
25913,RECORDED,75008153,MLI,,,25913,,MLI,,,,1A2,,GE75,,1,1.485,16,N,52,0,16.866666666666667,0.2943788671697053,1,W,55,0,-1.9166666666666663,-0.0334521439965574,GOURMA RHAROUS,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25913,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,48.0,600.0,2400.0,120
25913,RECORDED,75008153,MLI,,,25913,,MLI,,,,1A2,,GE75,,1,1.485,16,N,52,0,16.866666666666667,0.2943788671697053,1,W,55,0,-1.9166666666666663,-0.0334521439965574,GOURMA RHAROUS,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25913,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,48.0,600.0,2400.0,120
25155,RECORDED,75007393,MLI,,,25155,,MLI,,,,1A2,,GE75,,1,1.449,14,N,27,0,14.45,0.2522000769131763,11,W,27,0,-11.45,-0.1998401993533473,KAYES,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4445,1.4535,25155,HJ,1,30000.0,44.771213,9,A3E--,ANALOG,5.0,A,0.0,16.9,,,103.0,600.0,2400.0,120
25155,RECORDED,75007393,MLI,,,25155,,MLI,,,,1A2,,GE75,,1,1.449,14,N,27,0,14.45,0.2522000769131763,11,W,27,0,-11.45,-0.1998401993533473,KAYES,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4445,1.4535,25155,HN,1,30000.0,44.771213,9,A3E--,ANALOG,5.0,A,0.0,16.9,,,103.0,600.0,2400.0,120
27422,RECORDED,75009672,MLI,,,27422,,MLI,,,,1A2,,GE75,,1,1.584,13,N,58,0,13.966666666666669,0.2437643188618705,5,W,22,0,-5.366666666666666,-0.0936660031903607,KE MACINA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27422,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,222.0,600.0,2400.0,120
27422,RECORDED,75009672,MLI,,,27422,,MLI,,,,1A2,,GE75,,1,1.584,13,N,58,0,13.966666666666669,0.2437643188618705,5,W,22,0,-5.366666666666666,-0.0936660031903607,KE MACINA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27422,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,222.0,600.0,2400.0,120
28253,RECORDED,75010504,MLI,,,28253,,MLI,,,,1A2,,GE75,,1,1.602,12,N,50,0,12.833333333333334,0.2239839206726018,11,W,14,0,-11.233333333333333,-0.196058652640693,KENIEBA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28253,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,48.0,600.0,2400.0,120
28253,RECORDED,75010504,MLI,,,28253,,MLI,,,,1A2,,GE75,,1,1.602,12,N,50,0,12.833333333333334,0.2239839206726018,11,W,14,0,-11.233333333333333,-0.196058652640693,KENIEBA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28253,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,48.0,600.0,2400.0,120
27424,RECORDED,75009674,MLI,,,27424,,MLI,,,,1A2,,GE75,,1,1.584,18,N,26,0,18.433333333333334,0.3217223587842826,1,E,24,0,1.4,0.0244346095279202,KIDAL,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27424,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,47.0,600.0,2400.0,120
27424,RECORDED,75009674,MLI,,,27424,,MLI,,,,1A2,,GE75,,1,1.584,18,N,26,0,18.433333333333334,0.3217223587842826,1,E,24,0,1.4,0.0244346095279202,KIDAL,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27424,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,47.0,600.0,2400.0,120
27425,RECORDED,75009675,MLI,,,27425,,MLI,,,1991-09-17 00:00:00,1A2,,GE75,,1,1.584,13,N,2,0,13.033333333333331,0.2274745791765904,9,W,29,0,-9.483333333333333,-0.1655153907307927,KITA,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27425,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,47.0,600.0,2400.0,120
27425,RECORDED,75009675,MLI,,,27425,,MLI,,,1991-09-17 00:00:00,1A2,,GE75,,1,1.584,13,N,2,0,13.033333333333331,0.2274745791765904,9,W,29,0,-9.483333333333333,-0.1655153907307927,KITA,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27425,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,47.0,600.0,2400.0,120
28252,RECORDED,75010503,MLI,,,28252,,MLI,,,,1A2,,GE75,,1,1.602,13,N,31,0,13.516666666666667,0.2359103372278962,8,W,4,0,-8.066666666666666,-0.1407898929942068,KOLOKANI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28252,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,62.0,600.0,2400.0,120
28252,RECORDED,75010503,MLI,,,28252,,MLI,,,,1A2,,GE75,,1,1.602,13,N,31,0,13.516666666666667,0.2359103372278962,8,W,4,0,-8.066666666666666,-0.1407898929942068,KOLOKANI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28252,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,62.0,600.0,2400.0,120
25910,RECORDED,75008150,MLI,,,25910,,MLI,,,,1A2,,GE75,,1,1.485,12,N,23,0,12.383333333333333,0.2161299390386274,5,W,28,0,-5.466666666666667,-0.095411332442355,KOUTIALA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25910,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,152.0,600.0,2400.0,120
25910,RECORDED,75008150,MLI,,,25910,,MLI,,,,1A2,,GE75,,1,1.485,12,N,23,0,12.383333333333333,0.2161299390386274,5,W,28,0,-5.466666666666667,-0.095411332442355,KOUTIALA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25910,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,152.0,600.0,2400.0,120
28254,RECORDED,75010505,MLI,,,28254,,MLI,,,,1A2,,GE75,,1,1.602,15,N,52,0,15.866666666666667,0.2769255746497623,2,E,26,0,2.4333333333333336,0.0424696784651946,MENAKA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28254,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,48.0,600.0,2400.0,120
28254,RECORDED,75010505,MLI,,,28254,,MLI,,,,1A2,,GE75,,1,1.602,15,N,52,0,15.866666666666667,0.2769255746497623,2,E,26,0,2.4333333333333336,0.0424696784651946,MENAKA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28254,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,48.0,600.0,2400.0,120
22471,RECORDED,75004675,MLI,,,22471,,MLI,,,,1A2,,GE75,,1,1.098,14,N,29,0,14.483333333333333,0.2527818533305078,4,W,11,0,-4.183333333333334,-0.0730129403750948,MOPTI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.0935,1.1025,22471,HJ,1,30000.0,44.771213,9,A3E--,ANALOG,5.0,A,0.0,16.9,,,136.0,600.0,2400.0,120
