terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
23584,RECORDED,75005797,MTN,,,23584,,MTN,,,,1A2,,GE75,,1,1.251,16,N,40,0,16.666666666666668,0.2908882086657167,9,W,33,0,-9.55,-0.1666789435654556,AIOUN ATROUSS,,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.241,1.261,23584,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,7.0,A,0.0,15.1,,,120.0,600.0,2400.0,120
23584,RECORDED,75005797,MTN,,,23584,,MTN,,,,1A2,,GE75,,1,1.251,16,N,40,0,16.666666666666668,0.2908882086657167,9,W,33,0,-9.55,-0.1666789435654556,AIOUN ATROUSS,,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.241,1.261,23584,HN,1,20000.0,43.0103,20,A3E--,ANALOG,7.0,A,0.0,15.1,,,120.0,600.0,2400.0,120
23770,RECORDED,75005983,MTN,,,23770,,MTN,,,,1A2,,GE75,,1,1.278,19,N,45,0,19.75,0.3447025272688742,14,W,22,0,-14.366666666666667,-0.2507456358698477,AKJOUJT,,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.268,1.288,23770,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,7.0,A,0.0,15.1,,,118.0,600.0,2400.0,120
23770,RECORDED,75005983,MTN,,,23770,,MTN,,,,1A2,,GE75,,1,1.278,19,N,45,0,19.75,0.3447025272688742,14,W,22,0,-14.366666666666667,-0.2507456358698477,AKJOUJT,,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.268,1.288,23770,HN,1,20000.0,43.0103,20,A3E--,ANALOG,7.0,A,0.0,15.1,,,118.0,600.0,2400.0,120
24766,RECORDED,75006989,MTN,,,24766,,MTN,,,,1A2,,GE75,,1,1.395,17,N,3,0,17.05,0.2975786374650281,13,W,54,0,-13.9,-0.2426007660272077,ALEG,452.0,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.385,1.405,24766,HJ,1,1000.0,30.0,20,A3E--,ANALOG,7.0,A,0.0,0.4,,,47.0,600.0,2400.0,120
24766,RECORDED,75006989,MTN,,,24766,,MTN,,,,1A2,,GE75,,1,1.395,17,N,3,0,17.05,0.2975786374650281,13,W,54,0,-13.9,-0.2426007660272077,ALEG,452.0,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.385,1.405,24766,HN,1,1000.0,30.0,20,A3E--,ANALOG,7.0,A,0.0,0.4,,,47.0,600.0,2400.0,120
25072,RECORDED,75007307,MTN,,,25072,,MTN,,,,1A2,,GE75,,1,1.44,17,N,3,0,17.05,0.2975786374650281,13,W,54,0,-13.9,-0.2426007660272077,ALEG,481.0,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.43,1.45,25072,HJ,1,1000.0,30.0,20,A3E--,ANALOG,7.0,A,0.0,0.4,,,50.0,600.0,2400.0,120
25072,RECORDED,75007307,MTN,,,25072,,MTN,,,,1A2,,GE75,,1,1.44,17,N,3,0,17.05,0.2975786374650281,13,W,54,0,-13.9,-0.2426007660272077,ALEG,481.0,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.43,1.45,25072,HN,1,1000.0,30.0,20,A3E--,ANALOG,7.0,A,0.0,0.4,,,50.0,600.0,2400.0,120
22987,RECORDED,75005193,MTN,,,22987,,MTN,,,,1A2,,GE75,,1,1.17,20,N,31,0,20.516666666666666,0.3580833848674972,13,W,3,0,-13.05,-0.2277654673852561,ATAR,,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.16,1.18,22987,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,7.0,A,0.0,15.1,,,128.0,600.0,2400.0,120
22987,RECORDED,75005193,MTN,,,22987,,MTN,,,,1A2,,GE75,,1,1.17,20,N,31,0,20.516666666666666,0.3580833848674972,13,W,3,0,-13.05,-0.2277654673852561,ATAR,,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.16,1.18,22987,HN,1,20000.0,43.0103,20,A3E--,ANALOG,7.0,A,0.0,15.1,,,128.0,600.0,2400.0,120
24208,RECORDED,75006428,MTN,,,24208,,MTN,,,,1A2,,GE75,,1,1.332,25,N,13,0,25.216666666666665,0.4401138597112293,11,W,36,0,-11.6,-0.2024581932313388,BIR MOGHREIN,,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.322,1.342,24208,HJ,1,1000.0,30.0,20,A3E--,ANALOG,7.0,A,0.0,0.4,,,57.0,600.0,2400.0,120
24208,RECORDED,75006428,MTN,,,24208,,MTN,,,,1A2,,GE75,,1,1.332,25,N,13,0,25.216666666666665,0.4401138597112293,11,W,36,0,-11.6,-0.2024581932313388,BIR MOGHREIN,,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.322,1.342,24208,HN,1,1000.0,30.0,20,A3E--,ANALOG,7.0,A,0.0,0.4,,,57.0,600.0,2400.0,120
24767,RECORDED,75006990,MTN,,,24767,,MTN,,,,1A2,,GE75,,1,1.395,17,N,30,0,17.5,0.3054326190990025,14,W,40,0,-14.666666666666666,-0.2559816236258306,BOUTILIMIT,452.0,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.385,1.405,24767,HJ,1,1000.0,30.0,20,A3E--,ANALOG,7.0,A,0.0,0.4,,,47.0,600.0,2400.0,120
24767,RECORDED,75006990,MTN,,,24767,,MTN,,,,1A2,,GE75,,1,1.395,17,N,30,0,17.5,0.3054326190990025,14,W,40,0,-14.666666666666666,-0.2559816236258306,BOUTILIMIT,452.0,1.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.385,1.405,24767,HN,1,1000.0,30.0,20,A3E--,ANALOG,7.0,A,0.0,0.4,,,47.0,600.0,2400.0,120
