terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to
27454,RECORDED,75009705,NGR,,,27454,,NGR,,,,1A2,,GE75,,1,1.584,18,N,50,0,18.83333333333333,0.3287036757922598,7,E,20,0,7.333333333333333,0.1279908118129153,ARLIT,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27454,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,0.0,2400.0
27454,RECORDED,75009705,NGR,,,27454,,NGR,,,,1A2,,GE75,,1,1.584,18,N,50,0,18.83333333333333,0.3287036757922598,7,E,20,0,7.333333333333333,0.1279908118129153,ARLIT,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27454,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,0.0,2400.0
28278,RECORDED,75010529,NGR,,,28278,,NGR,,,,1A2,,GE75,,1,1.602,14,N,43,0,14.716666666666669,0.2568542882518278,0,E,55,0,0.9166666666666666,0.0159988514766144,AYOROU,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28278,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,0.0,2400.0
28278,RECORDED,75010529,NGR,,,28278,,NGR,,,,1A2,,GE75,,1,1.602,14,N,43,0,14.716666666666669,0.2568542882518278,0,E,55,0,0.9166666666666666,0.0159988514766144,AYOROU,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28278,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,0.0,2400.0
28276,RECORDED,75010527,NGR,,,28276,,NGR,,,,1A2,,GE75,,1,1.602,18,N,40,0,18.666666666666668,0.3257947937056027,13,E,0,0,13.0,0.226892802759259,BILMA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28276,HJ,1,100.0,20.0,9,A3E--,ANALOG,5.0,A,,-10.0,0.1,20.0,47.0,0.0,2400.0
28276,RECORDED,75010527,NGR,,,28276,,NGR,,,,1A2,,GE75,,1,1.602,18,N,40,0,18.666666666666668,0.3257947937056027,13,E,0,0,13.0,0.226892802759259,BILMA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28276,HN,1,100.0,20.0,9,A3E--,ANALOG,5.0,A,,-10.0,0.1,20.0,47.0,0.0,2400.0
27450,RECORDED,75009701,NGR,,,27450,,NGR,,,,1A2,,GE75,,1,1.584,13,N,48,0,13.8,0.2408554367752134,5,E,15,0,5.25,0.0916297857297007,BIRNI NKONNI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27450,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,0.0,2400.0
27450,RECORDED,75009701,NGR,,,27450,,NGR,,,,1A2,,GE75,,1,1.584,13,N,48,0,13.8,0.2408554367752134,5,E,15,0,5.25,0.0916297857297007,BIRNI NKONNI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27450,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,0.0,2400.0
28274,RECORDED,75010525,NGR,,,28274,,NGR,,,,1A2,,GE75,,1,1.602,15,N,0,0,15.0,0.261799387799145,7,E,0,0,7.0,0.122173047639601,DAKORO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28274,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,0.0,2400.0
28274,RECORDED,75010525,NGR,,,28274,,NGR,,,,1A2,,GE75,,1,1.602,15,N,0,0,15.0,0.261799387799145,7,E,0,0,7.0,0.122173047639601,DAKORO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28274,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,0.0,2400.0
