terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
2629,RECORDED,80018017,NIG,,A,2629,,NIG,,1978-11-23 00:00:00,1985-10-04 00:00:00,1A2,,NTFD_RR,RR11.2,1,1.152,7,N,15,0,7.25,0.1265363707695867,5,E,12,0,5.2,0.0907571211037036,AKURE,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-01-18 00:00:00,1.1475,1.1565,2629,HJ,1,50118.72,47.0,9,A3E--,ANALOG,,A,0.0,17.6,,,80.0,500.0,2300.0,120
2629,RECORDED,80018017,NIG,,A,2629,,NIG,,1978-11-23 00:00:00,1985-10-04 00:00:00,1A2,,NTFD_RR,RR11.2,1,1.152,7,N,15,0,7.25,0.1265363707695867,5,E,12,0,5.2,0.0907571211037036,AKURE,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-01-18 00:00:00,1.1475,1.1565,2629,HN,1,50118.72,47.0,9,A3E--,ANALOG,,A,0.0,17.6,,,80.0,500.0,2300.0,120
22847,RECORDED,75005053,NIG,,,22847,,NIG,,,,1A2,,GE75,,1,1.152,7,N,15,0,7.25,0.1265363707695867,5,E,12,0,5.2,0.0907571211037036,AKURE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.1475,1.1565,22847,HJ,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,17.6,,,80.0,500.0,2300.0,120
22847,RECORDED,75005053,NIG,,,22847,,NIG,,,,1A2,,GE75,,1,1.152,7,N,15,0,7.25,0.1265363707695867,5,E,12,0,5.2,0.0907571211037036,AKURE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.1475,1.1565,22847,HN,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,17.6,,,80.0,500.0,2300.0,120
25945,RECORDED,75008186,NIG,,,25945,,NIG,,,,1A2,,GE75,,1,1.485,6,N,15,0,6.25,0.1090830782496437,7,E,3,0,7.05,0.1230457122655981,AWKA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.4805,1.4895,25945,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,83.0,500.0,2200.0,120
25945,RECORDED,75008186,NIG,,,25945,,NIG,,,,1A2,,GE75,,1,1.485,6,N,15,0,6.25,0.1090830782496437,7,E,3,0,7.05,0.1230457122655981,AWKA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.4805,1.4895,25945,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,83.0,500.0,2200.0,120
24957,RECORDED,75007181,NIG,,,24957,,NIG,,,,1A2,,GE75,,1,1.422,5,N,10,0,5.166666666666667,0.0901753446863721,5,E,55,0,5.916666666666667,0.1032653140763294,BOMADI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.4175,1.4265,24957,HJ,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,17.4,,,50.0,500.0,2300.0,120
24957,RECORDED,75007181,NIG,,,24957,,NIG,,,,1A2,,GE75,,1,1.422,5,N,10,0,5.166666666666667,0.0901753446863721,5,E,55,0,5.916666666666667,0.1032653140763294,BOMADI,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.4175,1.4265,24957,HN,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,17.4,,,50.0,500.0,2300.0,120
27457,RECORDED,75009708,NIG,,,27457,,NIG,,,,1A2,,GE75,,1,1.584,4,N,15,0,4.25,0.0741764932097577,6,E,15,0,6.25,0.1090830782496437,BRASS YENAGOA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.5795,1.5885,27457,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,75.0,500.0,2300.0,120
27457,RECORDED,75009708,NIG,,,27457,,NIG,,,,1A2,,GE75,,1,1.584,4,N,15,0,4.25,0.0741764932097577,6,E,15,0,6.25,0.1090830782496437,BRASS YENAGOA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.5795,1.5885,27457,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,75.0,500.0,2300.0,120
3254,RECORDED,80018824,NIG,,A,3254,,NIG,,1978-11-23 00:00:00,1985-10-23 00:00:00,1A2,,NTFD_RR,RR11.2,1,1.314,9,N,46,0,9.766666666666667,0.17046049027811,8,E,51,0,8.85,0.1544616388014955,BUKURU,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-01-18 00:00:00,1.3095,1.3185,3254,HJ,1,10000.0,40.0,9,A3E--,ANALOG,,A,0.0,10.4,,,47.0,500.0,2300.0,120
3254,RECORDED,80018824,NIG,,A,3254,,NIG,,1978-11-23 00:00:00,1985-10-23 00:00:00,1A2,,NTFD_RR,RR11.2,1,1.314,9,N,46,0,9.766666666666667,0.17046049027811,8,E,51,0,8.85,0.1544616388014955,BUKURU,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-01-18 00:00:00,1.3095,1.3185,3254,HN,1,10000.0,40.0,9,A3E--,ANALOG,,A,0.0,10.4,,,47.0,500.0,2300.0,120
24075,RECORDED,75006294,NIG,,,24075,,NIG,,,,1A2,,GE75,,1,1.314,9,N,46,0,9.766666666666667,0.17046049027811,8,E,51,0,8.85,0.1544616388014955,BUKURU,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3095,1.3185,24075,HJ,1,10000.0,40.0,9,A3E--,ANALOG,5.0,A,0.0,10.4,,,47.0,500.0,2300.0,120
24075,RECORDED,75006294,NIG,,,24075,,NIG,,,,1A2,,GE75,,1,1.314,9,N,46,0,9.766666666666667,0.17046049027811,8,E,51,0,8.85,0.1544616388014955,BUKURU,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3095,1.3185,24075,HN,1,10000.0,40.0,9,A3E--,ANALOG,5.0,A,0.0,10.4,,,47.0,500.0,2300.0,120
22988,RECORDED,75005194,NIG,,,22988,,NIG,,,,1A2,,GE75,,1,1.17,4,N,58,0,4.966666666666667,0.0866846861823835,8,E,19,0,8.316666666666666,0.1451532161241926,CALABAR,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.1655,1.1745,22988,HJ,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,19.1,,,128.0,500.0,2300.0,120
22988,RECORDED,75005194,NIG,,,22988,,NIG,,,,1A2,,GE75,,1,1.17,4,N,58,0,4.966666666666667,0.0866846861823835,8,E,19,0,8.316666666666666,0.1451532161241926,CALABAR,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.1655,1.1745,22988,HN,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,19.1,,,128.0,500.0,2300.0,120
24599,RECORDED,75006821,NIG,,,24599,,NIG,,,,1A2,,GE75,,1,1.368,4,N,57,0,4.95,0.0863937979737178,8,E,18,0,8.3,0.1448623279155269,CALABAR,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1984-12-18 00:00:00,1.3635000000000002,1.3725,24599,HJ,1,10000.0,40.0,9,A3E--,ANALOG,5.0,A,0.0,10.4,,,47.0,500.0,2300.0,120
24599,RECORDED,75006821,NIG,,,24599,,NIG,,,,1A2,,GE75,,1,1.368,4,N,57,0,4.95,0.0863937979737178,8,E,18,0,8.3,0.1448623279155269,CALABAR,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1984-12-18 00:00:00,1.3635000000000002,1.3725,24599,HN,1,10000.0,40.0,9,A3E--,ANALOG,5.0,A,0.0,10.4,,,47.0,500.0,2300.0,120
25944,RECORDED,75008185,NIG,,,25944,,NIG,,,,1A2,,GE75,,1,1.485,4,N,35,0,4.583333333333333,0.079994257383072,6,E,35,0,6.583333333333333,0.114900842422958,DEGEMA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.4805,1.4895,25944,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,60.0,500.0,2300.0,120
25944,RECORDED,75008185,NIG,,,25944,,NIG,,,,1A2,,GE75,,1,1.485,4,N,35,0,4.583333333333333,0.079994257383072,6,E,35,0,6.583333333333333,0.114900842422958,DEGEMA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.4805,1.4895,25944,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,0.0,0.0,1.0,30.0,60.0,500.0,2300.0,120
21912,RECORDED,75004114,NIG,,,21912,,NIG,,,,1A2,,GE75,,1,1.026,12,N,30,0,12.5,0.2181661564992875,10,E,10,0,10.166666666666666,0.1774418072860871,HADIJA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.0215,1.0305,21912,HJ,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,17.4,,,75.0,500.0,2300.0,120
