terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
2888,RECORDED,80018343,SEN,,A,2888,,SEN,,1978-11-01 00:00:00,1985-10-14 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.215,14,N,55,0,14.916666666666666,0.2603449467558164,12,W,28,0,-12.466666666666669,-0.217584380081956,BAKEL,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-09-25 00:00:00,1.2105,1.2195,2888,HJ,1,19952.62,43.0,9,A3E--,ANALOG,,A,0.0,13.4,,,50.0,600.0,2400.0,120
2888,RECORDED,80018343,SEN,,A,2888,,SEN,,1978-11-01 00:00:00,1985-10-14 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.215,14,N,55,0,14.916666666666666,0.2603449467558164,12,W,28,0,-12.466666666666669,-0.217584380081956,BAKEL,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-09-25 00:00:00,1.2105,1.2195,2888,HN,1,19952.62,43.0,9,A3E--,ANALOG,,A,0.0,13.4,,,50.0,600.0,2400.0,120
23337,RECORDED,75005549,SEN,,,23337,,SEN,,,,1A2,,GE75,,1,1.215,14,N,55,0,14.916666666666666,0.2603449467558164,12,W,28,0,-12.466666666666669,-0.217584380081956,BAKEL,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.2105,1.2195,23337,HJ,1,20000.0,43.0103,9,A3E--,ANALOG,5.0,A,0.0,13.4,,,50.0,600.0,2400.0,120
23337,RECORDED,75005549,SEN,,,23337,,SEN,,,,1A2,,GE75,,1,1.215,14,N,55,0,14.916666666666666,0.2603449467558164,12,W,28,0,-12.466666666666669,-0.217584380081956,BAKEL,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.2105,1.2195,23337,HN,1,20000.0,43.0103,9,A3E--,ANALOG,5.0,A,0.0,13.4,,,50.0,600.0,2400.0,120
3215,RECORDED,80018770,SEN,,A,3215,,SEN,,1978-11-01 00:00:00,1985-10-21 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.305,14,N,45,0,14.75,0.2574360646691592,17,W,16,0,-17.266666666666666,-0.3013601841776824,DAKAR,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1975-02-20 00:00:00,1.3005,1.3095,3215,HJ,1,50118.72,47.0,9,A3E--,ANALOG,,A,0.0,19.1,,,126.0,600.0,2400.0,120
3215,RECORDED,80018770,SEN,,A,3215,,SEN,,1978-11-01 00:00:00,1985-10-21 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.305,14,N,45,0,14.75,0.2574360646691592,17,W,16,0,-17.266666666666666,-0.3013601841776824,DAKAR,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1975-02-20 00:00:00,1.3005,1.3095,3215,HN,1,50118.72,47.0,9,A3E--,ANALOG,,A,0.0,19.1,,,126.0,600.0,2400.0,120
4419,RECORDED,80020338,SEN,,A,4419,,SEN,,1978-11-01 00:00:00,1986-01-27 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.539,14,N,45,0,14.75,0.2574360646691592,17,W,16,0,-17.266666666666666,-0.3013601841776824,DAKAR,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1951-12-03 00:00:00,1.5345,1.5435,4419,HJ,1,10000.0,40.0,9,A3E--,ANALOG,,A,0.0,12.1,,,100.0,600.0,2400.0,120
4419,RECORDED,80020338,SEN,,A,4419,,SEN,,1978-11-01 00:00:00,1986-01-27 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.539,14,N,45,0,14.75,0.2574360646691592,17,W,16,0,-17.266666666666666,-0.3013601841776824,DAKAR,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1951-12-03 00:00:00,1.5345,1.5435,4419,HN,1,10000.0,40.0,9,A3E--,ANALOG,,A,0.0,12.1,,,100.0,600.0,2400.0,120
24009,RECORDED,75006222,SEN,,,24009,,SEN,,,,1A2,,GE75,,1,1.305,14,N,45,0,14.75,0.2574360646691592,17,W,16,0,-17.266666666666666,-0.3013601841776824,DAKAR,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3005,1.3095,24009,HJ,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,19.1,,,126.0,600.0,2400.0,120
24009,RECORDED,75006222,SEN,,,24009,,SEN,,,,1A2,,GE75,,1,1.305,14,N,45,0,14.75,0.2574360646691592,17,W,16,0,-17.266666666666666,-0.3013601841776824,DAKAR,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3005,1.3095,24009,HN,1,50000.0,46.9897,9,A3E--,ANALOG,5.0,A,0.0,19.1,,,126.0,600.0,2400.0,120
