terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to
22038,RECORDED,75004240,TGO,,,22038,,TGO,,,,1A2,,GE75,,1,1.035,7,N,32,0,7.533333333333333,0.1314814703169039,1,E,10,0,1.1666666666666667,0.0203621746066001,ATAKPAME,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.025,1.045,22038,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,,13.4,,,75.0,0.0,2400.0
22038,RECORDED,75004240,TGO,,,22038,,TGO,,,,1A2,,GE75,,1,1.035,7,N,32,0,7.533333333333333,0.1314814703169039,1,E,10,0,1.1666666666666667,0.0203621746066001,ATAKPAME,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.025,1.045,22038,HN,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,,13.4,,,75.0,0.0,2400.0
28349,RECORDED,75010600,TGO,,,28349,,TGO,,,,1A2,,GE75,,1,1.602,7,N,26,0,7.433333333333334,0.1297361410649096,0,E,47,0,0.7833333333333333,0.0136717458072886,BADOU,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28349,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,46.0,500.0,2300.0
28349,RECORDED,75010600,TGO,,,28349,,TGO,,,,1A2,,GE75,,1,1.602,7,N,26,0,7.433333333333334,0.1297361410649096,0,E,47,0,0.7833333333333333,0.0136717458072886,BADOU,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,28349,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,46.0,500.0,2300.0
27534,RECORDED,75009785,TGO,,,27534,,TGO,,,,1A2,,GE75,,1,1.584,9,N,5,0,9.083333333333334,0.1585340737228156,1,E,10,0,1.1666666666666667,0.0203621746066001,BASSAR,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27534,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,500.0,2300.0
27534,RECORDED,75009785,TGO,,,27534,,TGO,,,,1A2,,GE75,,1,1.584,9,N,5,0,9.083333333333334,0.1585340737228156,1,E,10,0,1.1666666666666667,0.0203621746066001,BASSAR,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27534,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,500.0,2300.0
23482,RECORDED,75005695,TGO,,,23482,,TGO,,,,1A2,,GE75,,1,1.233,10,N,51,0,10.85,0.1893682238413815,0,E,12,0,0.2,0.0034906585039886,DAPANGO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.223,1.243,23482,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,60.0,0.0,2400.0
23482,RECORDED,75005695,TGO,,,23482,,TGO,,,,1A2,,GE75,,1,1.233,10,N,51,0,10.85,0.1893682238413815,0,E,12,0,0.2,0.0034906585039886,DAPANGO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.223,1.243,23482,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,60.0,0.0,2400.0
25026,RECORDED,75007261,TGO,,,25026,,TGO,,,,1A2,,GE75,,1,1.431,10,N,51,0,10.85,0.1893682238413815,0,E,12,0,0.2,0.0034906585039886,DAPANGO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.421,1.441,25026,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
25026,RECORDED,75007261,TGO,,,25026,,TGO,,,,1A2,,GE75,,1,1.431,10,N,51,0,10.85,0.1893682238413815,0,E,12,0,0.2,0.0034906585039886,DAPANGO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.421,1.441,25026,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
21818,RECORDED,75004020,TGO,,,21818,,TGO,,,,1A2,,GE75,,1,1.017,10,N,0,0,10.0,0.17453292519943,1,E,10,0,1.1666666666666667,0.0203621746066001,KANDE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.007,1.027,21818,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,75.0,0.0,2400.0
21818,RECORDED,75004020,TGO,,,21818,,TGO,,,,1A2,,GE75,,1,1.017,10,N,0,0,10.0,0.17453292519943,1,E,10,0,1.1666666666666667,0.0203621746066001,KANDE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.007,1.027,21818,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,75.0,0.0,2400.0
24912,RECORDED,75007136,TGO,,,24912,,TGO,,,,1A2,,GE75,,1,1.413,10,N,21,0,10.35,0.18064157758141,0,E,28,0,0.4666666666666667,0.00814486984264,MANGO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.403,1.423,24912,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
24912,RECORDED,75007136,TGO,,,24912,,TGO,,,,1A2,,GE75,,1,1.413,10,N,21,0,10.35,0.18064157758141,0,E,28,0,0.4666666666666667,0.00814486984264,MANGO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.403,1.423,24912,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
