site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq
BUTARE,2834042,-2.6,29.7333333333333,,13000.0,6.69
BUTARE,2834043,-2.6,29.7333333333333,,13000.0,6.69
BUTARE QQ,2833953,-2.6,29.7333333333333,,27000.0,3.579
BUTARE QQ,2833959,-2.6,29.7333333333333,,24000.0,3.725
BUTARE QQ,2834052,-2.6,29.7333333333333,,27000.0,6.84
BYUMBA,2834028,-1.6,30.0666666666666,,13000.0,6.33
BYUMBA,2834033,-1.6,30.0666666666666,,13000.0,6.33
BYUMBA QQ,2834055,-1.6,30.05,,13000.0,6.84
BYUMBA QQ,2833961,-1.6,30.0666666666666,,13000.0,3.725
CYANGUGU QQ,2833955,-2.55,29.25,,13000.0,3.725
CYANGUGU QQ,2834045,-2.55,29.25,,13000.0,6.84
GISENYI,2833972,-1.66666666666666,29.3,,13000.0,4.02
GISENYI QQ,2833952,-1.66666666666666,29.3,,16000.0,3.535
GISENYI QQ,2834046,-1.66666666666666,29.3,,16000.0,6.84
GITARAMA QQ,2833958,-2.05,29.7333333333333,,13000.0,3.725
GITARAMA QQ,2834047,-2.05,29.7333333333333,,16000.0,6.84
KAGITUMBA QQ,2833963,-1.01666666666666,30.4833333333333,,13000.0,3.725
KAGITUMBA QQ,2834049,-1.01666666666666,30.4833333333333,,16000.0,6.84
KIBUNGO,2834029,-2.16666666666666,30.5333333333333,,13000.0,6.33
KIBUNGO,2834034,-2.16666666666666,30.5333333333333,,13000.0,6.33
KIBUNGO QQ,2833964,-2.16666666666666,30.5333333333333,,13000.0,3.725
KIBUNGO QQ,2834056,-2.16666666666666,30.5333333333333,,13000.0,6.84
KIBUYE,2834035,-2.05,29.35,,13000.0,6.33
KIBUYE,2834036,-2.05,29.35,,10000.0,6.33
KIBUYE QQ,2833956,-2.05,29.35,,13000.0,3.725
KIBUYE QQ,2834050,-2.05,29.35,,13000.0,6.84
KIGALI,2834027,-1.95,30.0166666666666,,13000.0,6.33
KIGALI,2834032,-1.95,30.0166666666666,,13000.0,6.33
KIGALI,2833865,-1.95,30.0666666666666,,20000.0,0.285
KIGALI,2833866,-1.95,30.0666666666666,,24800.0,0.321
KIGALI,2833868,-1.95,30.0666666666666,,3000.0,109.9
KIGALI,2833947,-1.95,30.0666666666666,,14800.0,2.01
KIGALI,2833950,-1.95,30.0666666666666,,37000.0,3.33
KIGALI,2833950,-1.95,30.0666666666666,,37000.0,3.33
KIGALI,2833951,-1.95,30.0666666666666,,37000.0,3.33
KIGALI,2833951,-1.95,30.0666666666666,,37000.0,3.33
KIGALI,2833971,-1.95,30.0666666666666,,10000.0,333.8
KIGALI,2834061,-1.95,30.0666666666666,,24800.0,7.42
KIGALI,2834057,-1.98333333333333,30.0833333333333,,11800.0,68.025
KIGALI,2834058,-1.98333333333333,30.0833333333333,,11800.0,68.125
KIGALI,2834059,-1.98333333333333,30.0833333333333,,11800.0,68.225
KIGALI,2834070,-1.98333333333333,30.0833333333333,,7800.0,81.1
KIGALI,2834022,-1.96666666666666,30.1333333333333,,26000.0,5.498
KIGALI,2834023,-1.96666666666666,30.1333333333333,,26000.0,5.505
KIGALI,2834066,-1.96666666666666,30.1333333333333,,26000.0,8.84
KIGALI,2834067,-1.96666666666666,30.1333333333333,,26000.0,8.959
KIGALI,2834068,-1.96666666666666,30.1333333333333,,26000.0,8.9605
KIGALI QQ,2833948,-1.95,30.0166666666666,,21100.0,2.02
KIGALI QQ,2834054,-1.95,30.0166666666666,,21100.0,6.84
KIGALI QQ,2833867,-1.95,30.0666666666666,,21100.0,1.64
KIGALI QQ,2833954,-1.95,30.0666666666666,,27000.0,3.579
KIGALI QQ,2833962,-1.95,30.0666666666666,,27000.0,3.725
KINYINYA,2834064,-1.88333333333333,30.1166666666666,,11800.0,77.825
KINYINYA,2834065,-1.88333333333333,30.1166666666666,,11800.0,77.925
KINYINYA,2834069,-1.88333333333333,30.1166666666666,,7800.0,81.0
NYABISINDU,2834026,-2.5,29.75,,13000.0,6.33
NYABISINDU,2834031,-2.5,29.75,,13000.0,6.33
NYABISINDU QQ,2834053,-2.33333333333333,29.75,,13000.0,6.84
NYABISINDU QQ,2833960,-2.5,29.75,,13000.0,3.725
RUHENGERI,2834025,-1.5,29.6333333333333,,13000.0,6.33
RUHENGERI,2834030,-1.5,29.6333333333333,,13000.0,6.33
RUHENGERI QQ,2833957,-1.5,29.6333333333333,,13000.0,3.725
RUHENGERI QQ,2834051,-1.5,29.6333333333333,,13000.0,6.84
