region,department,health_district,match_id,match_name,fac_name_processed,fac_name_orig,group_fac_type,fac_type_orig,group_fac_own,fac_own_orig,latitude,longitude,max_gps_dist,source,data_flagged,data_notes,decision_notes,last_updated,update_notes,n_gps,n_source,source_list,fac_id,fac_id_orig,fac_id_orig_var,n_fac_type,n_fac_own,no_department,no_health_district,no_fac_type,no_fac_own,no_gps,n_geos
Dakar,Dakar,Dakar Centre,1,a. vicke akapo,a. vicke akapo,A. Vické Akapo,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100002,,HFID2015,1,1,0,0,0,0,1,1
Dakar,Guediawaye,Guediawaye,2,ababacar mbaye diaw,ababacar mbaye diaw,Dr Ababacar Mb DIAW,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,1,To confirm department and health district for the facility,Confirmed same facility (though unclear what is the correct admin2),,,0,1,ANSD 2017-2018,100553,PS,HFID2015,1,1,0,0,0,0,1,2
Dakar,Pikine,Keur Massar,2,ababacar mbaye diaw,ababacar mbaye diaw,A. Mbaye Diaw,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,1,To confirm department and health district for the facility,Confirmed same facility (though unclear what is the correct admin2),,,0,1,ANSD 2017-2018,100578,PS,HFID2015,1,1,0,0,0,0,1,2
Dakar,Dakar,Dakar Sud,3,ababacar wilane,ababacar wilane,"Dr, Ababacar WILANE",poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100214,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,4,abass ndao,abass ndao,HOPITAL ABASS NDAO,hopital,Hopital,publique,Publique,,,0.06,ANSD 2017-2018,,,,,,4,8,ANSD 2017-2018; COUS; DGES; Maina et. al (2019); SPA 2014; SPA 2016; SPA 2017; SPA 2018,100261,HO_6,HFID2015,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,4,abass ndao,abass ndao,Hopital Abass Ndao,hopital,Hopital,publique,Publique,14.68483482,-17.45432698,0.06,COUS,,,,,,4,8,ANSD 2017-2018; COUS; DGES; Maina et. al (2019); SPA 2014; SPA 2016; SPA 2017; SPA 2018,120068,,,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,4,abass ndao,abass ndao,Centre hospitalier Abass NDAO,hopital,Hopital,publique,Publique,,,0.06,DGES,,,,,,4,8,ANSD 2017-2018; COUS; DGES; Maina et. al (2019); SPA 2014; SPA 2016; SPA 2017; SPA 2018,200033,,,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,4,abass ndao,abass ndao,Abass Ndao Centre Hospitalier Universitaire,hopital,Centre Hospitalier Universitaire,publique,Publique,14.685,-17.4547,0.06,Maina et. al (2019),,,,,,4,8,ANSD 2017-2018; COUS; DGES; Maina et. al (2019); SPA 2014; SPA 2016; SPA 2017; SPA 2018,130001,,,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,4,abass ndao,abass ndao,Hopital Abass Ndao,hopital,Hopital,publique,Publique,14.68481,-17.45476,0.06,SPA 2014,,,,,,4,8,ANSD 2017-2018; COUS; DGES; Maina et. al (2019); SPA 2014; SPA 2016; SPA 2017; SPA 2018,20003,20003,spafacid,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,4,abass ndao,abass ndao,Hopital Abass Ndao,hopital,Hopital,publique,Publique,14.68481,-17.45476,0.06,SPA 2016,,,,,,4,8,ANSD 2017-2018; COUS; DGES; Maina et. al (2019); SPA 2014; SPA 2016; SPA 2017; SPA 2018,40011,40011,,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,4,abass ndao,abass ndao,Hopital Abass Ndao,hopital,Hopital,publique,Publique,14.68462,-17.45428,0.06,SPA 2017,,,,,,4,8,ANSD 2017-2018; COUS; DGES; Maina et. al (2019); SPA 2014; SPA 2016; SPA 2017; SPA 2018,50011,50011,spafacid,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,4,abass ndao,abass ndao,Hopital Abass Ndao,hopital,Hopital,prive,Prive,,,0.06,SPA 2018,,,,,,4,8,ANSD 2017-2018; COUS; DGES; Maina et. al (2019); SPA 2014; SPA 2016; SPA 2017; SPA 2018,60008,60008,spafacid,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Ouest,5,abdou el caba toure,abdou el caba toure,Abdou El Caba TOURE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100386,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Guediawaye,Guediawaye,6,abdou karim sy,abdou karim sy,Abdou Karim SY,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100536,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Centre,7,abdou ndiaye,abdou ndiaye,Dr Abdou Ndiaye,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100046,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,8,abdou salam diallo,abdou salam diallo,Dr Abdou Salam DIALLO,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100203,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Nord,9,abdoul aziz daff,abdoul aziz daff,Abdoul Aziz Daff,centre de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Reclassify facility type due to majority of sources,20230520,Updated health district to match COUS and MOH health districts,1,3,ANSD 2017-2018; COUS; MOH,100003,,HFID2015,2,3,0,0,0,0,0,1
Dakar,Dakar,Dakar Nord,9,abdoul aziz daff,abdoul aziz daff,Centre de sante Abdoul Aziz Sy,centre de sante,Centre de sante,publique,Publique,14.75714022,-17.43877773,,COUS,,,,,,1,3,ANSD 2017-2018; COUS; MOH,120025,,,2,3,0,0,0,0,0,1
Dakar,Dakar,Dakar Nord,9,abdoul aziz daff,abdoul aziz daff,CS Abdou Aziz Dabakh,centre de sante,Centre de sante,publique,,,,,MOH,,,,,,1,3,ANSD 2017-2018; COUS; MOH,170225,,,2,3,0,0,0,0,0,1
Dakar,Guediawaye,Guediawaye,10,abdoul zaitouni,abdoul zaitouni,Abdoul Zaïtouni,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100537,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,11,abdoulaye ba,abdoulaye ba,Dr. Abdoulaye BA,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,1,To confirm department and health district for the facility,Confirmed same facility (though unclear what is the correct admin2),,,0,1,ANSD 2017-2018,100216,PS,HFID2015,1,1,0,0,0,0,1,2
